company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,founder3,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Truelancer,Employment,Freelance,New Delhi,Delhi,On Demand Curated Freelance Marketplace,110018,—,"Mar 1, 2014",www.truelancer.com,1,Dipesh Garg,,,Nov-50,1,Seed,"Nov 18, 2015",—,Seed,—,Aditya Dev Sood,Raghu Vohra,Kamal Bansal,,,3
9toppiks,Content Discovery,Digital Entertainment,Hyderabad,Andhra Pradesh,9toppiks is a content curation and publishing platform.,—,—,"Nov 1, 2014",9toppiks.com,2,Nagarjuna Reddy Mamillapalle,Venkat Raju,,Nov-50,1,Seed,"Sep 1, 2015","₹ 3,85,00,000.00",Seed,"₹ 3,85,00,000.00",,,,,,—
HeyHolidays,Tourism,Travel,Bangalore,Karnataka,"HeyHolidays, a global player in online vacation rentals.",—,$1M to $10M,2015,www.heyholidays.com/,3,Kenny Blatt,Nitesh Shetty,Stan Dong,01-Oct,1,Seed,"Feb 5, 2018","$ 10,00,000.00",Seed,"$ 10,00,000.00",Hampton Capital,,,,,1
Dinclix GroundWorks,Cloud Computing,Cloud Data Services,Indore,Madhya Pradesh,"Dinclix GroundWorks provides business solutions, cloud data, R&D, and creative services around the world.",452010,$1M to $10M,"Dec 3, 2014",www.dinclixgroundworks.com,2,Nipun Khare,Vivek Tiwari,,101-250,1,Seed,"Jan 8, 2015","$ 20,00,000.00",Seed,"$ 20,00,000.00",State Bank of India,,,,,1
KleverKid,Education,Parenting,Delhi,Delhi,KleverKid Find the Best Programs For Your Kids in Your Area.,110049,$1M to $10M,"Nov 10, 2014",kleverkid.in/,1,Shabnam Aggarwal,,,Nov-50,2,Seed,"Nov 26, 2015","$ 2,00,000.00",Seed,"$ 2,00,000.00",Aarin Capital,Mohandas Pai,,,,2
WeddingWishlist,Family,Gift,Chennai,Tamil Nadu,WeddingWishlist create a wishlist and help guests choose what they want.,—,Less than $1M,2015,www.weddingwishlist.com/,1,Kanika Subbiah,,,Nov-50,1,Seed,"Jul 5, 2016","$ 3,00,000.00",Angel,"$ 3,00,000.00",Kirthiga Reddy,Renuka Ramnath,CherryTin,,,3
Atarw Technologies,Consulting,E-Learning,Bangalore,Karnataka,"At Atarw, we are motivated and driven each day by clients who use our products and services to find innovative solutions",560 010,$1M to $10M,2015,atarw.com/,1,Channabasavanna Sharanappa,,,101-250,1,Seed,"Nov 30, 2015","$ 20,00,000.00",Seed,"$ 20,00,000.00",Quest Informatics,,,,,1
My Dream Store,E-Commerce,Internet,Hyderabad,Andhra Pradesh,"My Dream Store is India's largest social commerce platform. We help individuals start their online business without any costs, hassles.",500081,—,"Apr 25, 2014",www.mydreamstore.in,4,Bala Satish G,Karthik Venkat,Karthik Venkat,51-100,1,Seed,"Jan 14, 2015","$ 3,20,000.00",Angel,"$ 3,20,000.00",,,,,,—
Spayee,Education,Information Technology,Ghaziabad,Uttar Pradesh,Spayee is a cloud based smart digital reading platform where textbooks are enriched with all the necessary related equipment.,201014,$1M to $10M,"Feb 20, 2014",www.spayee.com/,2,Anirudh Singh,Sandeep Singh,,Nov-50,1,M&A,"Jul 1, 2014","$ 20,000.00",Seed,"$ 20,000.00",TLabs,,,,,1
Shape (School Health and Physical Education),EdTech,Education,Pune,Maharashtra,Shape is a technology interface platform that provides researched-based physical education and sports academic curriculum.,411 028,$1M to $10M,2015,www.shapeindia.in,3,Kurush Sidhwa,Nitin Bellara,Raju Deb,Nov-50,1,Seed,"Feb 8, 2018","$ 2,00,000.00",Seed,"$ 2,00,000.00",Sandeep Mathur,,,,,1
Zigya - For The Curious Learner,Communities,Content,New Delhi,Delhi,Platform catering to the education community.,110034,Less than $1M,"Mar 29, 2014",www.zigya.com,1,Sanjay Singh Yadav,,,01-Oct,1,Seed,"Mar 27, 2015","₹ 32,00,000.00",Seed,"₹ 32,00,000.00",,,,,,—
SPATEZ TECHNOLOGY LLP.,Electronics,Software,Thrissur,Kerala,Software Programming And Technical Entry Zone.,680652,Less than $1M,"Jul 24, 2015",www.spatez.com,1,Edwin Andrews,,,01-Oct,1,Seed,"Sep 6, 2015","$ 75,000.00",Angel,"$ 75,000.00",,,,,,—
CineBee Reviews Pvt Ltd,Android,Apps,Bangalore City,Karnataka,"CineBee Reviews is a movie rating application to find reviews on the latest Hindi, Telugu, and Tamil movies.",560034,—,2015,www.cinebee.in,2,Ajay Reddy,Kumar Ramachandran,,Nov-50,1,Seed,"Jan 1, 2015","$ 3,00,000.00",Seed,"$ 3,00,000.00",,,,,,—
Airlines Technology,Aerospace,Information Services,Haryana,Haryana,"Airlines Technology helps Airlines, Travel Agents and third party vendors drive more revenue out of business.",122001,$1M to $10M,2015,www.airlinestechnology.com/,3,Paras Kumar,Smriti Kumar,Varun Bansal,Nov-50,1,M&A,"Apr 5, 2016","$ 50,000.00",Pre-Seed,"$ 50,000.00",Travel Startups Incubator,,,,,1
Tiyo,Health Care,Information Technology,Kolkata,West Bengal,Tiyo allows Consumers to find Health Resources.,700040,$1M to $10M,"Apr 24, 2015",tiyo.in,3,Rana Dutta,Sandip Bodak,Sunil Mishra,Nov-50,4,Seed,"Sep 1, 2017",—,Seed,"$ 1,20,000.00",Brandshoots Ventures,Ajith Nair,Anish K Daniel,,,3
RoadGods,Automotive,E-Commerce,New Delhi,Delhi,"RoadGods is an online marketplace that offers products for the automotive, travel, and outdoors sectors.",—,—,"Apr 15, 2014",www.RoadGods.com,2,Apoorv Mangalam,Ashish Kumar,,01-Oct,1,Seed,"Feb 3, 2016","$ 1,00,000.00",Seed,"$ 1,00,000.00",GHV Accelerator,Greenhouse Ventures,,,,2
CarEager,Automotive,,Gurgaon,Haryana,World-class services & certified cars,122004,—,"Feb 21, 2014",www.careager.com,1,Avinay Sharma,,,101-250,1,Seed,"Oct 16, 2017","$ 10,00,000.00",Seed,"$ 10,00,000.00",,,,,,—
Zuver,Consumer,Logistics,Mumbai,Maharashtra,"Zuver is a technology startup based out of Mumbai which provides truly on demand, location specific, driver services.",400027,—,2015,zuver.in/,2,Sidhanth Mally,Sovin Hegde,,Nov-50,1,M&A,"May 3, 2016","$ 1,80,000.00",Angel,"$ 1,80,000.00",Hermes Group,Shruth & Smith Holdings,,,,2
Remphi,Apps,Consumer,Indore,Madhya Pradesh,Most prominent linen and dry clean service provider.,452010,$1M to $10M,2015,www.remphi.com/,3,Akash Kumar,Amit Kumar,Narendra Yadav,Nov-50,2,Seed,"Dec 1, 2016","₹ 26,52,000.00",Seed,"₹ 36,52,000.00",B.K. Yadav,V.K. Choudhary,,,,2
Blue Box Media Pvt. Ltd.,Digital Media,Internet,Jaipur,Rajasthan,Blue Box Media Pvt. Ltd. is a new age media house for a new age India managing two online portals The Tech Portal and SpringTide,302001,—,"Aug 26, 2014",www.blueboxmedia.co,2,Deepanshu Khandelwal,Pawas Jain,,Nov-50,2,Seed,"Apr 13, 2016","$ 1,50,000.00",Angel,"$ 1,58,224.00",,,,,,—
MinervaDB,,,Bengaluru,Karnataka,"WebScale Database Infrastructure Operations experts in MySQL, MariaDB, PostgreSQL and ClickHouse.",—,—,May-15,minervadb.com,1,Shiv Iyer,,,01-Oct,1,Seed,"Jan 7, 2018","$ 5,00,000.00",Seed,"$ 5,00,000.00",,,,,,—
MEngage,Health Care,Medical Device,Jaipur,Rajasthan,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,—,—,2015,mengage.co.in,2,Manmohan Yadav,Pulkit Raturi,,01-Oct,2,Seed,"Oct 3, 2019","$ 1,00,000.00",Seed,"$ 2,75,000.00",Mahavir Sharma,Sukhbir Singh,Amit Singal,100 Co-founders Lab,Siddharth Agrawal,6
BaggageAI,Air Transportation,Education,Vashi,Maharashtra,BaggageAI offers intelligent scanning secure systems.,400703,$1M to $10M,"Jun 18, 2014",baggageai.com,2,Himanshu Arora,Kushagra Singhania,,51-100,1,Seed,"May 15, 2020","$ 1,00,000.00",Seed,"$ 1,00,000.00",Society for Innovation and Entrepreneurship,,,,,1
Kaam24,,,New Delhi,Delhi,A mobile and web based job board to facilitate jobseeking engagement for less tech savvy seekers with small & medium enterprises.,110034,$1M to $10M,"Apr 1, 2014",www.kaam24.com,3,MA LA,Mayank Bansal,Sushant Shekhar,Nov-50,1,Seed,"Apr 1, 2014","$ 7,50,000.00",Seed,"$ 7,50,000.00",,,,,,—
World Art Community,Art,E-Commerce,Gurgaon,Haryana,World Art Community is an online platform for art and craft goods .,122 002,—,"Dec 1, 2014",www.worldartcommunity.com/,1,Shobhit Arora,,,Nov-50,2,Seed,"Oct 3, 2016","$ 2,00,000.00",Seed,"$ 4,00,000.00",Viraj Tyagi,,,,,1
The Kettlery,Consumer,Food and Beverage,Ahmedabad,Gujarat,The Kettlery provides various kinds of flavored teas intended to make Indian people realize the true essence of flavored teas.,380015,—,2015,www.thekettlery.com/,1,Sandeep Kotecha,,,Nov-50,1,Seed,"Oct 25, 2016","$ 10,00,000.00",Seed,"$ 10,00,000.00",Franchise India Holdings,Shooting Star,,,,2
myly,Apps,Education,Jaipur,Rajasthan,myly helps 640 mn students connect with school/college to communicate & transact via app.,—,Less than $1M,"Sep 26, 2014",www.mylyapp.com,2,Gaurav Mundra,Madhup Bansal,,Nov-50,1,Seed,"Jan 6, 2016","$ 1,00,000.00",Angel,"$ 1,00,000.00",Newbie Promoters Pvt. Ltd.,,,,,1
Crompton Greaves Consumer Electricals,Consumer Goods,Electronics,Mumbai,Maharashtra,"Crompton Greaves Consumer Electricals manufactures and markets a wide spectrum of consumer products ranging from fans, light sources.",400070,—,2015,www.crompton.co.in/,—,,,,1001-5000,1,Private Equity,"Apr 24, 2015",—,Private Equity,—,Temasek Holdings,Advent International,,,,2
3Dexter,3D Printing,Education,Delhi,Delhi,3D Printing has the potential to revolutionise the way we create physical objects.,110034,$1M to $10M,2015,3dexter.com/,7,Naman Singhal,Nikunj Singhal,Parth Batra,Nov-50,1,Seed,"Oct 19, 2016","$ 1,50,000.00",Seed,"$ 1,50,000.00",ICA Edu Skills,,,,,1
Instago,Android,iOS,New Delhi,Delhi,A meta travel aggregator app for road transportation,—,Less than $1M,"Mar 31, 2015",www.instago.co.in,3,Aneesh Seth,Anmol Ahlawat,Nakul Khanna,01-Oct,1,Seed,"Jul 1, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",Ramit Sethi,,,,,1
iManageMyHotel,Hospitality,Hotel,Kolkata,West Bengal,"Imanagemyhotel is a cloud based hotel management software which has built in channel manager, restaurant and POS, and online booking engine.",—,$1M to $10M,2015,www.imanagemyhotel.com/,2,Amit Banerjee,Sourav Goswami,,01-Oct,1,Seed,"Feb 8, 2017","$ 5,00,000.00",Seed,"$ 5,00,000.00",Jaarvis Accelerator,,,,,1
Black White Orange Brands,Consulting,Logistics,Andheri,Maharashtra,Black White Orange provides merchandising solutions,400053,—,2015,blackwhiteorange.in,1,Bhavik Vora,,,01-Oct,2,Seed,"Dec 23, 2015","$ 3,02,915.00",Seed,"$ 3,02,915.00",YWC Venture Capital,Collaborative Ventures,,,,2
IndiaMLS,Real Estate,Software,Mumbai,Maharashtra,A Real Estate Multiple Listing Service,—,Less than $1M,2015,www.indiamls.com/index.php/home,3,Hari Kondlapudi,Jay Patel,Navin Khabiya,Nov-50,1,Seed,"Jul 24, 2015","$ 10,00,000.00",Seed,"$ 10,00,000.00",,,,,,—
99PerHour Services,Apps,Customer Service,Hyderabad,Andhra Pradesh,"Services at hourly rates @ Rs.99*/Hour, right at your doorstep. At present we are offering 18 professional , utility and personnel services.",500073,—,2015,www.99perhour.com,2,Shanker K,Vidhyaa Kaipa,,Nov-50,1,Seed,"Jan 27, 2017","$ 3,00,000.00",Seed,"$ 3,00,000.00",V Anand R,,,,,1
Muse Dot Media,Advertising,Marketing,Delhi,Delhi,Muse Dot Media is an Integrated marketing solutions agency.,—,$10M to $50M,2015,www.musedotmedia.com/,2,Aman Varma,Shubham Singhal,,Nov-50,2,Seed,"Oct 15, 2019","$ 10,00,000.00",Angel,"$ 13,00,000.00",,,,,,—
MadGuy Labs,E-Learning,,Hyderabad,Andhra Pradesh,MadGuy Labs is a Online Test-prep Platform.,500075,—,Apr-14,madguy.co,3,Alok Katiyar,Sanjay Jagarwal,Vishal Indra Meena,Nov-50,4,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 2,98,400.00",Gray Matters Capital,Villgro,GenNext Ventures,TIDES Business Incubator,edLABS,5
Finly,Accounting,FinTech,Bangalore,Karnataka,Finly is your one stop solution to have complete visibility and control over your business expenses.,—,$1M to $10M,2015,www.finly.io/,2,Veekshith Rai,Vivek AG,,Nov-50,1,Seed,"Dec 21, 2019",—,Seed,—,91springboard,Social Capital,Gemba Capital,Das42 Capital,,4
BookServicing.com,Automotive,Customer Service,Noida,Uttar Pradesh,Bookservicing.com is a network of car service centers that provides online bookings for car repairs and other services.,—,—,"Aug 10, 2015",www.bookservicing.com,2,Abhishek Rai,Priya Rai,,Nov-50,1,Seed,"Mar 6, 2017","₹ 20,00,000.00",Seed,"₹ 20,00,000.00",Department of Science and Technology,,,,,1
Freshboxx,Delivery,Food Delivery,Hubli,Karnataka,Freshboxx delivers fresh and organic quality fruits and vegetables at the customer's doorsteps at a reasonable price.,—,Less than $1M,2015,www.freshboxx.in/,2,Pavan Patil,Rohan Kulkarni,,Nov-50,3,Seed,"Apr 23, 2018",—,Seed,"$ 37,600.00",Sandbox Startups,Ravi Linganuri,Jayant Humbarwadi,,,3
Sacumen,Cyber Security,DevOps,Bangalore,Karnataka,Sacumen specializes in working with Security Product Companies. Built Connectors & working with Security Product Companies,560 095,—,Jul-15,www.sacumen.com/,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
—,—,—,,101-250,Seed,Angel,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/sacumen-security-thought-partner,,,,,,,,,,,,,,,,,,,
ENIXTA Innovations Pvt Ltd,Artificial Intelligence (AI),B2B,Hyderabad,Andhra Pradesh,ENIXTA is an AI company that enables all online businesses to listen to their customers voices in multiple formats.,500034,Less than $1M,"Jun 20, 2014",www.enixta.com,1,Giri Devanathan,,,01-Oct,1,Seed,"Jun 30, 2014","$ 17,00,000.00",Seed,"$ 17,00,000.00",,,,,,—
JoulestoWatts,Business Information Systems,Consulting,Bangalore,Karnataka,JoulestoWatts is a business solutioning and consulting company that delivers client-focused and multi-disciplinary solutions.,560 066,—,2015,www.joulestowatts.com/,1,Priti Sawant,,,251-500,1,Seed,"Feb 10, 2016",—,Seed,—,Manipal Global Education Services,Saha Fund,,,,2
Niramaya PathLabs,Health Care,Health Diagnostics,New Delhi,Delhi,Niramaya PathLabs is an elite Pathology and Wellness service provider.,110056,—,2015,www.niramayahealthcare.com/,2,Lalit Mittal,Ujjwal Chaudhry,,Nov-50,1,Seed,"Apr 1, 2015","$ 1,50,000.00",Seed,"$ 1,50,000.00",,,,,,—
HandyServices.In,Building Maintenance,Furniture,Ahmedabad,Gujarat,HandyServices.in is a home maintenance company that offers maintenance services for commercial and residential societies.,380009,$1M to $10M,"Dec 1, 2014",handyservices.In,2,Piyush Dixit,Saurabh Shah,,Nov-50,1,Seed,"Dec 1, 2014","₹ 85,00,000.00",Seed,"₹ 85,00,000.00",M E C International Private Limited,,,,,1
Chromavid,Film,Film Production,Photo Editing,Photography,Real-time Green screen chroma key app to shoot awesome videos and photos using chroma key effects.,380051,$1M to $10M,2015,chromavid.com/,1,Gujarat,India,Asia-Pacific (APAC),2,Seed,"Sep 14, 2017","$ 2,00,000.00",Seed,"$ 2,50,000.00",—,Nivid Jain,,,,,
Transport on Demand (ToD),E-Commerce,Information Services,Ahmedabad,Gujarat,Transport on Demand is an online logistics platform that offers intra-city movement services for the transportation of goods.,380015,Less than $1M,Jan-15,www.thetodapp.com/,2,Dhruv Taneja,Yash Vasant,,01-Oct,1,Seed,"Jul 29, 2016","$ 1,50,000.00",Seed,"$ 1,50,000.00",Dhruv Taneja,,,,,1
Kvion Inc,Information Technology,Web Hosting,Bangalore City,Karnataka,"Kvion Inc provides domain registration; web, reseller, and VPS hosting; and dedicated server services worldwide.",560102,$10M to $50M,"Sep 26, 2014",www.kvion.com,1,Arjinder Sandhu,,,Nov-50,1,Seed,"Oct 27, 2014","$ 1,00,000.00",Seed,"$ 1,00,000.00",Hardev Sandhu Ventures,,,,,1
Sickey Digital,Advertising,Internet,New Delhi,Delhi,Sickey Digital is a full-service digital marketing agency.,110074,$1M to $10M,"Feb 10, 2015",www.sickeydigital.com,—,,,,01-Oct,1,Seed,"Jul 13, 2016","₹ 1,00,000.00",Seed,"₹ 1,00,000.00",,,,,,—
Hubhopper,Audio,Audiobooks,Delhi,Delhi,Hubhopper - Create & Discover podcasts | All-in-one podcast platform,110020,—,2015,hubhopper.com/,2,Gautam Raj Anand,Kanishk Mahawar,,Nov-50,6,—,"Feb 25, 2021",—,Venture - Series Unknown,—,ITI Growth Opportunities Fund,Hindustan Media Venture,Unit-E Ventures,,,3
ReCircle,Recycling,Waste Management,Mumbai,Maharashtra,ReCircle is a waste management company.,400052,—,2015,recircle.in/,1,Rahul Nainani,,,01-Oct,2,Seed,"Sep 26, 2023",—,Seed,—,Acumen,Flipkart Ventures,Impact India Investment Partners,AIM Smart City,,4
Qdesq,Facility Management,Internet,Gurgaon,Haryana,"Qdesq is India's largest tech-enabled brokerage free platform for today’s workforce to search, sort and book a flexible workspace.",122002,—,2015,www.qdesq.com,"freelancers and extremely budgeted requirements - Unbranded shared offices and neighbourhood coworking spaces.
2. Corporate Clients (established startups and Indian companies with flexible requirements) - Branded chains like Innov8",Redbricks,"etc
3. Enterprise Segment ( with flexible requirements) - High end serviced offices like Regus Spaces",cowrks,depending on location,—,—,—,2,",",https://www.crunchbase.com/person/lavesh-bhandari,,101-250,4,—,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/qdesq,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/qdesq
Medikoe,Fitness,Health Care,Bangalore,Karnataka,Medikoe provides you discovery of services which are personally verified and can be trusted,—,—,2015,www.medikoe.com/,1,Sreevalsan Menon,,,Nov-50,1,Seed,"Nov 23, 2015","$ 1,00,000.00",Angel,"$ 1,00,000.00",Anil Menon,,,,,1
TravelDilSe,Leisure,Online Portals,New Delhi,Delhi,"Traveldilse is a vacation planning & booking engine where customers can build, customize & book travel packages with instant confirmations.",110001,$1M to $10M,"Oct 19, 2014",traveldilse.com/,2,Natesh Rajagopalan,Sumita Tulsiani,,Nov-50,2,Seed,"May 8, 2018","$ 1,40,000.00",Seed,"$ 4,70,000.00",,,,,,—
PriceMap,Apps,E-Commerce,New Delhi,Delhi,Price Map is a service that provides customers with the prices of nearby products.,110092,Less than $1M,2015,pricemap.in/,2,Shishir Dubey,Suresh Kabra,,01-Oct,1,Seed,"Mar 20, 2016","$ 6,00,000.00",Seed,"$ 6,00,000.00",Suresh Kabra,,,,,1
Giant Tech Labs( Shouut),Events,Search Engine,Delhi,Delhi,SHOUUT is a 250-character recommendation platform for places and events.,110017,$1M to $10M,2015,www.shouut.com/,1,Praveer Kochhar,,,Nov-50,1,Seed,"Feb 8, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",Praveer Kochhar,,,,,1
yellooboard,Logistics,Mobile,Bengaluru,Karnataka,Yellooboard is a transportation company that enables households to move goods easily.,—,—,2015,www.yellooboard.com/,1,Vishwanadh Chowdari,,,101-250,1,Seed,"Jan 25, 2016","$ 30,00,000.00",Seed,"$ 30,00,000.00",,,,,,—
fitmeln,E-Commerce,Fitness,New Delhi,Delhi,fitmeln is an online destination that offers content focused on fitness workouts.,110024,$1M to $10M,2015,fitmein.in/index.html,1,Nidhisha Varshney,,,01-Oct,2,M&A,"Dec 13, 2016",—,Seed,"$ 1,00,000.00",FiNC,GHV Accelerator,,,,2
Creditas Solutions,Financial Services,FinTech,Gurgaon,Haryana,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,—,—,2015,www.creditas.in/,2,Anshuman Panwar,Madan Srinivasan,,51-100,2,Seed,"Mar 26, 2018",—,Seed,—,1Crowd,Malpani Ventures,Aniruddha Malpani,Daud Ali,Infina Finance,6
Pixr8,Digital Media,Incubators,Ghaziabad,Uttar Pradesh,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,—,$1M to $10M,"Oct 28, 2014",pixr8.com,1,Nitish Singh,,,Nov-50,1,Seed,"Jun 13, 2018","$ 50,000.00",Seed,"$ 50,000.00",,,,,,—
YuMiGo,Leisure,Tourism,Haryana,Haryana,"YuMiGo, a discovery and transaction platform on web",122018,—,2015,www.yumigo.com,2,Pratyush Kukreja,Rishabh Sood,,Nov-50,1,Seed,"Oct 17, 2016","$ 3,00,000.00",Seed,"$ 3,00,000.00",,,,,,—
Schoolkart,E-Commerce,Online Portals,New Delhi,Delhi,"Schoolkart.com offers a host of product categories such as NCERT Books, Text Books, Reference Books, Sample Papers etc.",—,$1M to $10M,Dec-14,www.schoolkart.com/,1,Nikhil Sareen,,,01-Oct,2,Seed,"Mar 28, 2016","$ 3,00,000.00",Angel,"$ 5,00,000.00",,,,,,—
IStyleYou - Fashion Tech Lab,Apps,E-Commerce,Gurgaon,Haryana,"Data-driven personalization platform for apparel retailers , using machine learning and human expertise",—,$1M to $10M,2015,istyleyou.in/,,,,,,,,,,,,,,,,,
User behavior and conducting numerous focused group session we are now working on building products which would assist user to bu the products they love. We have built,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"integrating our product. Can't be mentioned for confidentiality purpose.\"",—,—,https://www.crunchbase.com/person/pallav-modi,https://www.crunchbase.com/person/vinayak-khanijo,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/istyleyou,,Venture - Series Unknown,$100","000""",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/istyleyou,—,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_investors/istyleyou,,,,,,,,,,,,,,,,,,,,,,
GyanDhan,Consumer Applications,Education,New Delhi,Delhi,GyanDhan is an education loans marketplace,—,—,2015,www.gyandhan.com/,2,Ankit Mehra,Jainesh Sinha,,01-Oct,2,Seed,"Jul 12, 2016",—,Seed,—,Click Labs,Samar Singla,Stanford Angels and Entrepreneurs,Harvard Angels,,4
Roadhouse Hostels Pvt Ltd,Tourism,Travel,Goa,Goa,"A Chain of Backpacker's Hostel providing cheap, safe and Cool accommodations in India and abroad.",—,—,"Nov 11, 2014",www.roadhousehostels.com/,3,Rajesh Borah,Shubham Garg,Uday Jhamb,01-Oct,1,Seed,"Feb 24, 2016","$ 4,05,882.00",Angel,"$ 4,05,882.00",Indian Angel Network,Artha Group,,,,2
Brainpan Innovations,Big Data,Health Care,Lucknow,Uttar Pradesh,"1. Doctor’s Diary: Doctor's Diary is an Electronic Health Record (EHR) application that promises ‘one patient, one record’ for 1.",226006,$1M to $10M,"Apr 15, 2015",www.brainpan.co/,3,Abhi Das,Amrit Ravi,Saurabh Singh,Nov-50,2,Seed,"Oct 1, 2017","$ 80,000.00",Seed,"$ 1,30,000.00",,,,,,—
Orxa Energies,Automotive,Battery,Bangalore,Karnataka,"Orxa Energies makes high-performance, long-range, aesthetically appealing Electric Vehicles",—,—,Aug-15,orxaenergies.com/,we built & tested several prototypes,we bootstrapped for 2.5 years,which we now offer as a product. Our team has already put in significant development efforts (multiple types of BMS & thermal management developed completely in-house,—,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/orxa-energies,",",https://www.crunchbase.com/person/prajwal-sabnis,https://www.crunchbase.com/person/ranjita-ravi,,1,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/orxa-energies,,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/orxa-energies,Lectrix E-Vehicles
Promon.in,Food and Beverage,Internet,New Delhi,Delhi,Online deals and marketing platform,110024,$1M to $10M,"Jul 14, 2014",www.promon.in/,1,Sarabjeet Anand,,,Nov-50,1,Seed,"Sep 29, 2016","$ 1,80,000.00",Seed,"$ 1,80,000.00",Now Capital,,,,,1
Funcart,Delivery,Event Management,New Delhi,Delhi,"Funcart.in is the first renowned online party & birthday supplies store in India. Here, you can find birthday, festive decoration items etc.",110017,—,Mar-15,www.funcart.in/,1,Ritika Nangia,,,Nov-50,1,Seed,"Feb 25, 2016","$ 70,000.00",Seed,"$ 70,000.00",,,,,,—
NewsPatrolling,Information Services,Politics,Azadpur,Delhi,"News Patrolling is an Indian news website covering entertainment, politics, sports, lifestyle, automobile, technology and more.",110033,$1M to $10M,"Feb 14, 2014",www.newspatrolling.com/,1,Pankaj Bansal,,,Nov-50,1,Seed,"Oct 14, 2016","$ 25,000.00",Seed,"$ 25,000.00",,,,,,—
Driverr,Apps,Mobile,Mumbai,Maharashtra,Mumbai and Bangalore-based startup,—,—,May-15,driverr.com,2,Hari Krishnan,Shivalik Sen,,01-Oct,1,Seed,"Aug 11, 2015","$ 23,000.00",Seed,"$ 23,000.00",,,,,,—
Benepik,Communications Infrastructure,Human Resources,Gurgaon,Haryana,Benepik is an HR Technology start-up that helps organizations achieve superior results through an engaged and motivated workforce.,122002,—,2015,www.benepik.com/,2,Saurabh Jain,Yogesh Misra,,Nov-50,1,Seed,"Mar 30, 2018",—,Seed,—,Yogesh Misra,HNI,Vishal Bali,,,3
GoGo Truck,Logistics,Search Engine,Chennai,Tamil Nadu,GoGo Truck is an on-demand truck service in Chennai and Coimbatore that intends to move your personal and business goods hassle free .,600102,$1M to $10M,Mar-15,www.gogotruck.in,2,Senthil Kumar,Vasister Arun,,Nov-50,1,Seed,"Jun 3, 2016","$ 74,400.00",Seed,"$ 74,400.00",,,,,,—
Lemon leaf,Food Processing,Fruit,Delhi,Delhi,Lemon Leaf is a one stop shop for best in class vegetables and fruits.,110085,—,Jul-15,lemonleaf.in/,3,Puneet Gulati,Rishubh Khurana,Sankalp Chandhok,01-Oct,1,M&A,"Jul 26, 2016","$ 1,33,000.00",Angel,"$ 1,33,000.00",Tushar Gupta,Sourav Sahani,,,,2
Legal Diction,Consulting,Legal,Indore,Madhya Pradesh,Transforming Legal Services by Transforming Lives.,—,$1M to $10M,2015,legaldiction.com/,1,Himanshu Dhakad,,,01-Oct,2,Seed,"Dec 15, 2015","$ 12,000.00",Seed,"$ 15,000.00",Himanshu Dhakad,,,,,1
AskMyGift,Apps,E-Commerce,New Delhi,Delhi,AskMyGift is an online retailer that sells gift themed products.,—,$1M to $10M,"Jun 15, 2015",www.askmygift.com,2,Shagun Nayyar,Sumeet Agrawal,,01-Oct,1,Seed,"Oct 15, 2015","$ 40,000.00",Angel,"$ 40,000.00",Ashish Mittal,,,,,1
RedCooker,Food and Beverage,Food Processing,Bengaluru,Karnataka,RedCooker is a mobile platform for consumers to order gourmet and aggregated home made food. Currently serving limited areas in Bangalore.,560095,$1M to $10M,2015,www.redcooker.com,3,Amol Patil,Raghunandan B,Rohan Patnaik,Nov-50,1,Seed,"Jun 1, 2015","$ 5,00,000.00",Angel,"$ 5,00,000.00",,,,,,—
