company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Splash,E-Commerce,Internet,Gurgaon,Haryana,Splash offers an online guide that enables users to find and organize experiences based on a curated list of recommended local activities.,—,$10M to $50M,1993,www.splashfashions.com,2,Michael Powers,251-500,2,Seed,"Mar 1, 2011",—,Seed,—,AngelPad,Quotidian Ventures,,,,2
Milacron India,Industrial,Machinery Manufacturing,Ahmedabad,Gujarat,"Milacron India is a global leader in the manufacture, distribution and service of highly engineered and customized systems.",382 445,$1B to $10B,1995,www.milacronindia.com/,—,,501-1000,1,M&A,"May 1, 2005",—,Private Equity,—,NorthStar Capital,,,,,1
ZeusControls,Internet,Retail Technology,Vadodara,Gujarat,ZeusControls automatically controls devices at home by detecting a person’s movements and learning their devices usage habits.,—,—,"Apr 1, 1987",www.zeuscontrols.com,1,Anuja Anup Jhalani,01-Oct,1,Seed,"Jul 1, 2014","$12,500",Seed,"$12,500",Cyberport Hong Kong,,,,,1
Semac Consultants,Architecture,Consulting,Bangalore,Karnataka,Semac Consultants is a consulting company,560 004,$10M to $50M,1987,www.semacconsultants.com,—,,501-1000,1,Private Equity,"May 1, 2008","$16,000,000",Private Equity,"$16,000,000",MAPE Advisory Group,,,,,1
Ace Creative Learning,E-Learning,Education,Bengaluru,Karnataka,Ace Creative Learning offers training and guidance to students preparing for various engineering and medical entrance examinations.,560004,$100M to $500M,1998,www.acecl.com,2,Dr Sridhar G,51-100,1,—,"Oct 12, 2012","$3,000,000",Venture - Series Unknown,"$3,000,000",Kaizenvest,,,,,1
Nectar Lifesciences,Biotechnology,Health Care,Chandigarh,Chandigarh,Nectar Lifesciences is a global supplier of active pharmaceutical ingredients for sterile injectable and oral Cephalosporins.,160009,—,1995,neclife.com/,1,Sanjiv Goyal,Nov-50,1,Private Equity,"Jan 13, 2010",—,Private Equity,—,New Silk Route,,,,,1
A LITTLE WORLD,Communications Infrastructure,Finance,Mumbai,Maharashtra,"A Little World develops ZERO, an Indian domestic payment system that can be used in lowest available communication infrastructure.",400 025,—,"Mar 2, 2000",alittleworld.com,1,Anurag Gupta,51-100,2,Early Stage Venture,"Sep 9, 2008","$6,410,000",Series B,"$8,410,000",Caspian Impact Investments,Legatum,,,,2
HG Infra Engineering,Civil Engineering,,Jodhpur,Rajasthan,H.G. Infra Engineering Limited is one of the Rajasthan’s fastest growing  Company.,342001,—,2003,www.hginfra.com,1,Hodal Singh,1001-5000,1,Private Equity,"Feb 26, 2018",—,Private Equity,—,Reliance Capital,SBI Mutual Fund,Birla Sun Life Insurance,HDFC Trustee,DSP Blackrock,11
Elofic Industries Limited,Automotive,Marketing,Faridabad,Haryana,Elofic is a manufacturer of filters and lubricants.,121003,—,"May 11, 1951",www.elofic.com/,2,Mohinder Singh Sahni,501-1000,1,Private Equity,"Nov 9, 2021",—,Private Equity,—,Vestin Wolf Capital Management,,,,,1
Viom Networks,Construction,Industrial Engineering,Gurgaon,Haryana,Viom Networks operates and manages telecommunication towers for telecom service providers in India.,122015,—,2004,www.viomnetworks.com/,—,,1001-5000,1,M&A,"Sep 1, 2008",—,Private Equity,—,IDFC Private Equity,,,,,1
Dusters Total Solution Services,Facilities Support Services,,Bangalore,Karnataka,Dusters Total Solution Services is a largest facility management services provider across industry verticals,560052,—,1994,dtss.in/,1,Jasmer Puri,10001+,1,Private Equity,"Dec 6, 2010","₹100,000,000",Private Equity,"₹100,000,000",TVS Capital Funds,,,,,1
Rotomag Group,Electronics,Manufacturing,Anand,Gujarat,Rotomag Group is amongst the leading specialty electric motors manufacturing enterprises.,388121,$1M to $10M,1993,www.rotomag.com/,1,Mohan Balani,101-250,1,—,"Sep 15, 2015",—,Venture - Series Unknown,—,BanyanTree Finance Pvt. Ltd.,,,,,1
Epiance,Computer,Information Technology,Bangalore,Karnataka,Epiance helps businesses manage their IT driven business process transformations successfully.,560 066,Less than $1M,2001,www.epiplex500.com/,1,Ravi Ramamurthy,101-250,1,Early Stage Venture,"May 25, 2004","$7,500,000",Series B,"$7,500,000",Norwest Venture Partners,Outlook Ventures,,,,2
Sresta,Food and Beverage,Manufacturing,Hyderabad,Andhra Pradesh,"Sresta communities for farmers who are committed to the cause of organic farming, ensuring continuing means of livelihood.",500034,$1M to $10M,2004,www.sresta.com/,1,Rajashekar Reddy Seelam,101-250,3,Early Stage Venture,"May 15, 2017",—,Series B,"$15,000,000",VenturEast,Brand Capital,Peepul Capital LLC,,,3
The Arya Vaidya Pharmacy,Alternative Medicine,Biotechnology,Coimbatore,Tamil Nadu,The Arya Vaidya Pharmacy has grown in reputation as one of the pioneers in the field of Ayurveda.,641045,—,1943,www.avpayurveda.com,1,Krishna Kumar,101-250,1,Private Equity,"Jun 1, 2017",—,Private Equity,—,Phi Capital,,,,,1
Aqua Designs India Pvt Ltd,Construction,Environmental Engineering,Chennai,Tamil Nadu,Aqua Designs is a global engineering company with engineering capabilities to execute turnkey solutions for water and wastewater management.,—,$1M to $10M,2002,www.aquadesigns.in/,1,Sreedharan Suthakar,501-1000,1,Private Equity,"Jul 14, 2010","$11,800,000",Private Equity,"$11,800,000",Peepul Capital LLC,,,,,1
Xpedeon,Software,,Mumbai,Maharashtra,"Xpedeon is a provider of integrated software solutions for the construction industry, supporting both pre and post contract activities.",400001,—,1994,www.xpedeon.com/,1,Janak Vakharia,101-250,1,Early Stage Venture,"Dec 19, 2022",—,Series A,—,Norwest Venture Partners,,,,,1
W for Woman,Consumer,Fashion,New Delhi,Delhi,"The W assortment consists of everything ranging from salwar kameez, tunics, work wear, festive wear, trousers and a lot more.",110030,$1M to $10M,1972,wforwoman.com,2,Narender Singh,501-1000,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,,,,,,—
HealthCare Global,Biotechnology,Health Care,Bangalore,Karnataka,HealthCare Global Provides Cancer Care.,560027,—,1989,www.hcgoncology.com/,2,B. S. Ajaikumar,51-100,1,IPO,"May 2, 2011",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Malaki,Food and Beverage,Food Processing,Mumbai,Maharashtra,Malaki is a premium brand in the functional beverage space.,400001,—,1995,www.malaki.in/,2,Ashish Bhatia,—,1,Seed,"Apr 20, 2021",—,Seed,—,9Unicorns Accelerator Fund,Rahul Parekh,Dharmesh Dalal,,,3
Reflex Technologies,Manufacturing,Robotics,Mumbai,Maharashtra,Reflex Technologies is a new generation company offering products and solutions in industrial automation and robotics.,400710,—,1996,www.reflexautomation.com,1,Rajesh Ananthakrishnan,01-Oct,1,—,"Aug 13, 2010",—,Venture - Series Unknown,—,Subhkam Ventures,,,,,1
Epicenter Technologies,Artificial Intelligence (AI),Customer Service,Mumbai,Maharashtra,Epicenter is a leading provider of Business Process Management Solution.,401101,—,2000,www.epicenter.tech,1,Rajesh Thankappan,1001-5000,1,Private Equity,"Jan 1, 2002",—,Private Equity,—,True North,,,,,1
KPR Mill Limited,Apparel,Beauty,Coimbatore,Tamil Nadu,"KPR Mill Limited is an apparel company that manufactures superior quality knitted apparel, cotton knitted fabrics, and cotton yarn.",641 018,—,1989,www.kprmilllimited.com/,1,K. Ramasamy,10001+,1,IPO,"Aug 28, 2007","₹1,050,000,000",Private Equity,"₹1,050,000,000",Argonaut Private Equity,Blue River Capital,Brandot International Limited,,,3
John Energy,Energy,Industrial,Ahmedabad,Gujarat,John Energy caters to the upstream and midstream oil and gas industries.,—,—,"Jan 1, 1987",www.johnenergy.com/,1,Mahesh Vyas,501-1000,3,—,"Apr 2, 2010","₹1,000,000,000",Venture - Series Unknown,"$36,020,316",Sage Capital,RaRe Enterprises,,,,2
Innobits,Music,Service Industry,Bengaluru,Karnataka,Innobits is a provider of software for the digital video industry and associated businesses.,560085,—,2001,www.innobits.com,—,,01-Oct,1,—,"Nov 23, 2007","$398,000",Venture - Series Unknown,"$398,000",SamInvest Mitt,Västernorrlandsfonden,,,,2
Davars,Bakery,Food and Beverage,Gwalior,Madhya Pradesh,Davars manufactures and supplies bakery ingredients.,—,—,"Jan 1, 1982",davars.com/,—,,Nov-50,1,Private Equity,"May 11, 2011","₹65,000,000",Private Equity,"₹65,000,000",SEAF,,,,,1
Firepro Systems,Information Technology,Infrastructure,Bangalore,Karnataka,"Firepro is an infrastructure protection and safety company delivering fire protection, security and building management solutions.",560008,$10M to $50M,1992,www.fireprosystems.com,1,N.S. Narendra,501-1000,1,Private Equity,"Apr 4, 2006","$12,000,000",Private Equity,"$12,000,000",MAPE Advisory Group,AIG Investments,,,,2
Rinac India,Machinery Manufacturing,Manufacturing,Bengaluru,Karnataka,"Rinac India designs, manufactures, and implements cold infrastructure requirements such as cold room warehouses and refrigerated facilities.",560008,—,1994,www.rinac.com/,—,,251-500,1,Private Equity,"Feb 1, 2012",—,Private Equity,—,Avigo Capital Inc,,,,,1
Tayana Software Solutions (TSS),Digital Entertainment,Software,Bangalore,Karnataka,Tayana Software Solutions  is a subsidiary of Jupiter Capital .,—,—,1999,tayanasoftware.com/,1,Koshy George,101-250,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Jupiter Capital,,,,,1
Mercator Lines,Logistics,Oil and Gas,Mumbai,Maharashtra,Mercator Lines operates an international bulk shipping company.,400021,—,1983,mercator.in/,—,,251-500,1,M&A,"Jan 1, 2019",—,Venture - Series Unknown,—,Next Orbit Ventures Fund-I,,,,,1
Kaizen,Information Technology,IT Management,Kolkata,West Bengal,Kaizen engages in technical staffing and IT managed services.,—,$100M to $500M,1999,kaizencare.net,1,Jayanta Goswami,251-500,1,Seed,"Nov 1, 2021",—,Seed,—,,,,,,—
Zim Laboratories,Health Care,Manufacturing,Nagpur,Maharashtra,Zim Laboratories is a manufacturer of pharmaceutical products.,—,—,"Jan 1, 1989",www.zimlab.in/,1,Anwar Daud,251-500,1,—,"Jan 3, 2013","$8,200,000",Venture - Series Unknown,"$8,200,000",Ashmore Alchemy,,,,,1
Classteacher Learning Systems,E-Learning,EdTech,Gurgaon,Haryana,Classteacher Learning Systems pioneers interactive classroom technology and offers digital classrooms solutions to schools and students.,122001,—,1999,www.classteacher.com,2,Rohit Pande,251-500,1,—,"Jun 27, 2011","$15,000,000",Venture - Series Unknown,"$15,000,000",Eight Roads Ventures,,,,,1
Drishtee Development and Communication Ltd.,Social Entrepreneurship,,Noida,Uttar Pradesh,"Drishtee establishes kiosks that offer affordable Internet access, consumer products and community services to rural Indian villages.",201301,$1M to $10M,2000,drishtee.com,3,Nitin Gachhayat,501-1000,2,Seed,"Sep 20, 2006","$1,000,000",Seed,"$1,600,000",Acumen,,,,,1
Mtar Technologies,Aerospace,Machinery Manufacturing,Balanagar,Andhra Pradesh,MTAR Technologies is a nuclear and space equipment manufacturing company.,500 037,—,"Jan 1, 1970",www.mtar.in,1,Sivarami Reddy,251-500,1,IPO,"Nov 7, 2007","$65,000,000",Private Equity,"$65,000,000",Blackstone Group,,,,,1
Shiram Credit,Banking,Finance,Chennai,Tamil Nadu,Shriram Credit Company Limited is a non-banking finance company that is engaged in asset finance and NBFC-based lending activities.,600001,Less than $1M,1980,www.shriramcredit.in,—,,10001+,1,—,"Sep 18, 2011","$15,000,000",Venture - Series Unknown,"$15,000,000",LeapFrog Investments,,,,,1
AVTEC LTD,Automotive,Manufacturing,New Delhi,Delhi,AVTEC is one of the largest independent manufacturers of powertrain and precision-engineered products in India.,110001,—,"Feb 3, 1994",www.avtec.in,1,CK Birla,1001-5000,2,Private Equity,"Apr 15, 2013",—,Private Equity,"$17,800,000",Actis,Warburg Pincus,,,,2
Captronic Systems,Aerospace,Industrial Automation,Bangalore,Karnataka,"Captronic Systems specializes in the design and development of custom automated test equipment, data acquisition, and control systems.",560037,—,1998,captronicsystems.com,1,Vinod Mathews,51-100,1,—,"Mar 29, 2012","€2,500,000",Venture - Series Unknown,"€2,500,000",Axon Partners Group,Forum Synergies,,,,2
SEED Infotech,Consulting,Information Technology,Pune,Maharashtra,"SEED Infotech is an information technology training, staffing and products & tools consulting services company.",—,—,"Jan 1, 1994",www.seedinfotech.com/,1,Shrikant Rasane,1001-5000,1,—,"Nov 18, 2011","₹330,000,000",Venture - Series Unknown,"₹330,000,000",Granite Hill Capital Partners,Ashmore Alchemy,,,,2
STEER Engineering,Industrial,Manufacturing,Bengaluru,Karnataka,"STEER Engineering designs, develops, and implements advanced materials platform technologies.",—,—,"Jan 1, 1993",www.steerworld.com/,1,Dr. Babu Padmanabhan,Nov-50,1,—,"Dec 1, 2007","₹273,000,000",Venture - Series Unknown,"₹273,000,000",Axis Holdings,,,,,1
Ortel Communications,Broadcasting,Telecommunications,Bhubaneswar,Orissa,Ortel Communications is a leading cable television and high-speed broadband services provider.,751016,—,1995,www.ortelcom.com/,—,,01-Oct,1,IPO,"Apr 1, 2008",—,Private Equity,—,New Silk Route,,,,,1
RG Stone,Health Care,Hospital,New Delhi,Delhi,RG Stone is a urology hospital for kidney stone treatment.,—,—,"Jan 1, 2004",www.rghospitals.com/,1,Hanish Bansal,Nov-50,2,Private Equity,"Mar 1, 2011","₹900,000,000",Private Equity,"$30,025,340",ICICI Venture,India Equity Partners,,,,2
Adinath Agro,Agriculture,Manufacturing,Pune,Maharashtra,Adinath Agro is a food processing company involved in manufacturing fruit pulps.,411005,—,1995,www.adinathagro.com/,—,,501-1000,1,Early Stage Venture,"Dec 22, 2015",—,Series A,—,Carpediem Capital,,,,,1
SRS Group,Hospitality,Real Estate,Faridabad,Haryana,"SRS Group is a dynamic and diversified business house, with a strong presence across multiple sectors.",—,$10M to $50M,2000,www.srsparivar.com/,1,Anil Jindal,501-1000,1,—,"Sep 20, 2011",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Neptune India Limited,Electronics,Energy,Noida,Uttar Pradesh,Neptune India is market leader in energy segment with most efficient and technologically advanced energy products and Solutions.,201301,—,"May 4, 1998",www.neptuneindia.com/,1,Deepak kapoor,501-1000,1,Seed,"Feb 15, 2019",—,Pre-Seed,—,,,,,,—
Integrated Clean Room Technologies,Biotechnology,Facilities Support Services,Hyderabad,Andhra Pradesh,"Integrated Clean Room Technologies provides turnkey cleanrooms and related equipment to pharmaceuticals, biotechnology and microelectronics",500 014,$1M to $10M,2003,www.icleantech.com/,1,Gopi Katamaneni,501-1000,2,Late Stage Venture,"Dec 16, 2015",—,Series C,"$8,400,000",Global Environment Fund Management,Takasago Thermal Engineering,,,,2
Datar Genetics,Biotechnology,Genetics,Nasik,Maharashtra,Datar Genetics is a provider of cell based and molecular genomic services for oncology.,422010,Less than $1M,1992,datarpgx.com/,1,Rajan Datar,51-100,1,—,"Mar 1, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
John Distilleries,Food and Beverage,Wine And Spirits,Bengaluru,Karnataka,John Distilleries produces and supplies alcoholic beverages.,560039,—,1996,jdl.in,1,Paul John,1001-5000,2,Private Equity,"Jan 2, 2019",—,Private Equity,—,Gaja Capital,Sazerac Company,,,,2
Next Wave Multimedia,Government,Information Services,Chennai,Tamil Nadu,"Develop games, digital content and digital creation tools.",600 014,Less than $1M,1995,www.nextwavemultimedia.com,1,Rajendran PR,51-100,1,—,"Jan 9, 2018",—,Venture - Series Unknown,—,Nazara Technologies,,,,,1
Crossword Bookstores,E-Commerce,Retail,Malad,Maharashtra,"Crossword Bookstores is a chain of retail stores that sells books, toys, stationery, magazines, gifts, hardware, and accessories.",—,—,"Oct 15, 1992",www.crossword.in/,2,K. Anita,251-500,1,—,"Jul 1, 2000","₹10,000,000",Venture - Series Unknown,"₹10,000,000",ICICI Venture,,,,,1
Regenesys Management,Business Development,Education,Mumbai,Maharashtra,"Regenesys Management offers academic, digital, and corporate education programs.",400013,—,2002,regenesys.net,3,Marko Saravanja,51-100,1,—,"Dec 11, 2012",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Algorhythm Tech,Artificial Intelligence (AI),Computer,Pune,Maharashtra,"Algorhythm Tech is a specialised products company delivering intelligent, connected planning & optimization solutions.",411007,—,2003,algorhythmtech.com,3,Abhaya Borwankar,Nov-50,1,M&A,"Jul 14, 2010",—,Venture - Series Unknown,—,Mumbai Angels,,,,,1
Rolex Rings,Automotive,Machinery Manufacturing,Rajkot,Gujarat,Rolex Rings is designs and manufactures hot forged rolled rings for bearing and automotive industries.,360 004,—,1975,www.rolexrings.com/,1,Manesh Dayashankar Madeka,1001-5000,1,Private Equity,"Sep 1, 2007","$40,000,000",Private Equity,"$40,000,000",New Silk Route,,,,,1
Kelvin Cold Chain Logistics,Logistics,,Mumbai,Maharashtra,Kelvin Cold Chain Logistics provides the “Integrated Cold Chain Logistics & Supply Chain Management.,400 072,—,1996,kelvincoldchain.com/,—,,Nov-50,1,M&A,"Jan 1, 2019",—,Private Equity,—,Ambit Pragma Ventures,,,,,1
Symbiotec Pharmalab,Biotechnology,Health Care,Indore,Madhya Pradesh,Symbiotec Pharmalab is an API manufacturing company that develops and markets research-based cortico steroids.,453 331,—,2002,symbiotec.in,1,Anil Satwani,51-100,1,—,"Oct 22, 2013","$48,000,000",Venture - Series Unknown,"$48,000,000",Actis,,,,,1
Capital Trust,Financial Services,Information Technology,New Delhi,Delhi,Capital Trust is a non banking financing company.,110030,$1M to $10M,1985,www.capitaltrust.in/,—,,1001-5000,1,Private Equity,"Jan 1, 2019",—,Private Equity,—,Lighthouse Funds,,,,,1
Dana Choga,Catering,Food and Beverage,Gurgaon,Haryana,Dana Choga is a chain of restaurants that provides authentic taste and warm hospitality to guests.,—,—,"Jan 1, 1994",danachoga.com/,1,Dinesh Ahluwalia,Nov-50,1,Seed,"Feb 1, 2013","₹50,000,000",Seed,"₹50,000,000",SAIF Partners,,,,,1
MediSys EduTech,E-Learning,EdTech,Hyderabad,Andhra Pradesh,MediSys EduTech specializes in digitally enabling medical education.,500033,$1M to $10M,1993,medisysedutech.com/,—,,101-250,1,—,"Jan 1, 2013",—,Venture - Series Unknown,—,New Enterprise Associates,,,,,1
Paramount Group,Real Estate,,Noida,Uttar Pradesh,Paramount Group is a young and contemporary real estate company with an objective to create industry milestones.,201301,$10B+,1996,paramountgroup.co.in,1,Ajitsinh Raj,101-250,1,—,"May 1, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
GVR Infra Projects Ltd,Construction,Infrastructure,Chennai,Tamil Nadu,GVR Infra Projects Limited operates as a construction and infrastructure development company in India and Nepal.,600017,—,2001,www.gvrinfra.com/,—,,Nov-50,1,Private Equity,"Jul 1, 2011",—,Private Equity,—,CDC Group,,,,,1
SIRO Clinpharm,Clinical Trials,Health Care,Thane,Maharashtra,SIRO Clinpharm is a clinical research organisation.,—,$50M to $100M,"Jan 1, 1996",www.siroclinpharm.com/,1,Gautam Daftary,251-500,2,Private Equity,"Mar 1, 2007","₹1,200,000,000",Private Equity,"₹1,350,000,000",3i Group,Kotak Private Equity,Baring Private Equity India,,,3
Saaol Health,Business Development,Health Care,New Delhi,Delhi,Healthcare Centre for Heart patients,110030,—,"Aug 12, 1994",www.saaol.com,4,Amit Nahata,1001-5000,1,Seed,"Aug 12, 1994","₹100,000",Pre-Seed,"₹100,000",,,,,,—
Arpita Agro Products,Agriculture,,Kolkata,West Bengal,Arpita Agro Products founding principle was to create viable alternative products as substitutes to toxic products.,700029,$1M to $10M,1992,www.arpitaagro.in,1,Sudeep Majumder,51-100,1,—,"Aug 19, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Gold Souk Group,Real Estate,,Gurgaon,Haryana,Gold Souk Group is a 4 decade old company which has played a pivotal role in ushering in a new dawn in India's real estate environment.,122002,—,2003,www.agsgroup.in,—,,501-1000,1,—,"Oct 1, 2005",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Century Real Estate,Real Estate,,Bangalore,Karnataka,"Century Real Estate is an integrated, full-service real estate development company headquartered in Bangalore, India.",560052,Less than $1M,1973,www.centuryrealestate.in,2,P. Dayananda Pai,501-1000,1,—,"Sep 1, 2009",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Browndove Healthcare,Health Care,Hospital,Bangalore,Karnataka,Browndove Healthcare provides solutions and addressing customer needs in the renal care space.,560 011,—,1996,www.browndove.com/,2,Arni Krishnaswamy,Nov-50,1,Seed,"Mar 8, 2016",—,Seed,—,Somerset Indus Capital Partners,,,,,1
SEW Infrastructure,Civil Engineering,Construction,Hyderabad,Andhra Pradesh,SEW Infrastructure is an infrastructure construction company.,—,—,"Jan 1, 1959",www.sewinfrastructure.com/,1,Y.M.G Rao,501-1000,2,Private Equity,"Apr 5, 2010","₹1,520,000,000",Private Equity,"₹2,820,000,000",Jacob Ballas Capital India,Citi Venture Capital International,,,,2
FACES Cosmetics,Beauty,Cosmetics,Mumbai,Maharashtra,"FACES Cosmetics, with a proud Canadian heritage spanning over 40 years, offers an exclusive line of makeup, skincare products.",400013,—,1974,www.faces-india.com,—,,101-250,1,M&A,"Mar 8, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Numero Uno,Apparel,E-Commerce,Gurgaon,Haryana,Numero Uno is an online marketplace for apparel and fashion.,—,—,"Jan 1, 1987",www.numerounojeanswear.com,1,Narinder Singh Dhingra,251-500,1,—,"Mar 19, 2009","₹350,000,000",Venture - Series Unknown,"₹350,000,000",Ashmore Alchemy,,,,,1
BBF Industries,Manufacturing,Packaging Services,Ludhiana,Punjab,"BBF Industries provides packaging materials, plastic products, and contractually manufactured products in India.",141011,Less than $1M,1961,www.bbfgroup.com/,—,,Nov-50,1,Private Equity,"Feb 1, 2008","₹300,000,000",Private Equity,"₹300,000,000",,,,,,—
Hexagon Nutrition,Fitness,Food and Beverage,Mumbai,Maharashtra,Hexagon Nutrition has been dedicated to offering innovative solutions for global nutrition,400053,—,1991,hexagonnutrition.com/,3,Arun Kelkar,251-500,1,Early Stage Venture,"Dec 8, 2016",—,Series A,—,Somerset Indus Capital Partners,,,,,1
Akshar Group,Developer Tools,Management Consulting,Mumbai,Maharashtra,Akshar Group has demonstrated above phrase by developing and delivering numerous keystones to countless families and investor.,400705,$1M to $10M,1995,www.akshardevelopers.com/,—,,51-100,1,—,"Aug 1, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
VKL Spices,Food and Beverage,Manufacturing,Mumbai,Maharashtra,"VKL manufactures seasonings, and supplies a large number of restaurant chains in India.",—,$50M to $100M,1935,www.vklspices.com,1,Kanji Morarjias,501-1000,1,M&A,"Mar 1, 2013",—,Venture - Series Unknown,—,True North,,,,,1
Navayuga Engineering Company Ltd,Infrastructure,,Hyderabad,Andhra Pradesh,Navayuga Engineering Company Limited (Navayuga) is a player in the infrastructure construction industry and specialises.,—,—,1986,www.necltd.com/,1,Chinta Visweswara Rao,101-250,1,Private Equity,"Nov 1, 2006","$44,400,000",Private Equity,"$44,400,000",3i Group,,,,,1
Moser Baer,Computer,Consumer Electronics,New Delhi,Delhi,"Moser Baer, headquartered in New Delhi, is one of India's leading technology companies. Established in 1983, the company successfully",10016,$50M to $100M,1983,moserbaer.com/,1,Deepak Puri,5001-10000,1,Private Equity,"Dec 1, 1998",—,Private Equity,—,Epiris,,,,,1
Bonanza Online,Finance,Financial Services,New Delhi,Delhi,Bonanza developed into one of the largest financial services and broking house in India within a short span of time.,110002,—,1994,www.bonanzaonline.com,2,S.P Goel,1001-5000,1,Private Equity,"Jan 1, 2019",—,Private Equity,—,Gaja Capital,,,,,1
Zanvar Group,Industrial,Manufacturing,Kolhapur,Maharashtra,Zanvar Group is a graded cast iron and S.G. iron automotive components manufacturing company.,—,—,"Jan 1, 1983",www.zanvargroup.com/,1,Rampratap Zanvar,Nov-50,1,—,"Jan 1, 2008","₹300,000,000",Venture - Series Unknown,"₹300,000,000",SIDBI Venture Capital,,,,,1
Aarvee Associates,Architecture,Civil Engineering,Hyderabad,Andhra Pradesh,Aarvee Associates is a multi-disciplinary engineering consulting company.,—,—,"Jan 1, 1989",aarvee.com/,1,RV Chakrapani,1001-5000,1,Early Stage Venture,"Jan 1, 1989",—,Series A,—,,,,,,—
Rangsons Electronics,Electronics,Manufacturing,Mysore,Karnataka,Rangsons Electronics is a electronics company,—,—,1993,rangsons-ds.com,1,Pavan Ranga,Nov-50,1,Private Equity,"Aug 1, 2007",—,Private Equity,—,MAPE Advisory Group,,,,,1
Spacewood,Manufacturing,,Nagpur,Maharashtra,Spacewood is Indias leading manufacturer of Modular Furniture.,440016,—,1994,www.spacewood.in,2,Kirit Joshi,501-1000,1,—,"Nov 23, 2012",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Hangyo,Food and Beverage,Food Processing,Mangalore,Karnataka,"Hangyo spanning various sectors like milk and milk products, ice creams and fresh foods, restaurants and hospitality.",575003,—,2002,www.hangyo.in/,—,,101-250,1,—,"Aug 31, 2013","$5,000,000",Venture - Series Unknown,"$5,000,000",Unilever Ventures,Capvent,,,,2
Rajesh Exports,Jewelry,Manufacturing,Bangalore,Karnataka,Rajesh Exports objective is to establish REL firmly as a leader in the global jewellery market by manufacturing and marketing.,560001,—,1989,www.rajeshindia.com/,2,Prashant Mehta,51-100,1,IPO,"Dec 1, 2005",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Prolific,Electrical Distribution,Electronics,Thane,Maharashtra,"Prolific is an electrical, instrumentation, automation & IT solution, advanced industrial technology and embedded systems training provider.",400 604,—,1997,www.prolificindia.com/,1,Rajeush Ballamwar,501-1000,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Canbank Venture Capital Fund,,,,,1
Guardian Developers,Real Estate,Tourism,Pune,Maharashtra,Guardian Developers is the well known Real Estate segment of Guardian Corporation in Pune.,411 038,$1M to $10M,1991,www.guardiandevelopers.in/,1,Manish Sabade,Nov-50,1,—,"Aug 20, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
IANS News,Media and Entertainment,News,New Delhi,Delhi,IANS News is the multimedia news platform.,—,$10M to $50M,"Jan 1, 1986",www.ians.in,—,,Nov-50,1,Private Equity,"Jun 1, 2003","₹10,000,000",Private Equity,"₹10,000,000",Peepul Capital LLC,,,,,1
Sara Sae,Machinery Manufacturing,Manufacturing,Dehra Dun,Uttarakhand,Sara Sae manufacturers hi-tech drilling equipment for land and jack-up rigs and other equipment used for oil well drilling.,248 001,—,1978,www.sarasae.com/,1,Vijay Dhawan,501-1000,1,M&A,"Aug 26, 2011",—,Private Equity,—,Multiples,,,,,1
M - Tech India,Automotive,Manufacturing,Pune,Maharashtra,"M - Tech India is a leading and certified RuPay, Visa and Master Card manufacturer from India.",411057,$50M to $100M,1990,m-techindia.com,1,Vijay Gandhi,51-100,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Canbank Venture Capital Fund,,,,,1
OC Orthodontics,Health Care,Health Insurance,Ludhiana,Punjab,OC Orthodontics is a full line orthodontic manufacturer and supplier for supporting markets both domestic and international.,—,—,"Jan 1, 2004",www.oc-orthodontics.com/,1,Klaus Hagelganz,51-100,1,Private Equity,"Jul 1, 2015",—,Private Equity,—,Caltius Equity Partners,,,,,1
Bartronics India,Consulting,Information Technology,Hyderabad,Andhra Pradesh,"Bartronics leverages its expertise in being a strategic partner for our customers with focus on domain, business processes and technology.",500034,—,1990,www.bartronics.com/,1,Umesh K.,501-1000,1,IPO,"Aug 1, 2005",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Bhadra International,Aerospace,Customer Service,New Delhi,Delhi,Bhadra International is an aviation infrastructure services company that provides ground handling services.,—,—,"Jan 1, 2000",www.bhadra.in/,—,,101-250,1,Private Equity,"Oct 1, 2010","₹970,000,000",Private Equity,"₹970,000,000",Greater Pacific Capital,,,,,1
