company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,no of investor,investor1,investor2,investor3,investor4
Comparometer.in,E-Commerce,Internet,Mohali,Punjab,Comparometer.in is a comparison shopping website & E-Commerce company.,160058,Less than $1M,"Sep 18, 2015",www.comparometer.in,1,Vineet Saini,,Nov-50,1,Seed,"May 22, 2018","₹ 1,00,00,000.00",Seed,"₹ 1,00,00,000.00",6,Brand Capital,CompareRaja,Junglee,PriceBaba
DoorKeys,Internet,Real Estate,New Delhi,Delhi,DoorKeys is the first ever platform that gives you the ability to 'Buy at your price'.,110020,$1M to $10M,2016,www.doorkeys.com/,1,Arjun Basu,,101-250,1,Seed,"Sep 7, 2016","$ 20,00,000.00",Seed,"$ 20,00,000.00",—,,,,
Hey Deedee,Delivery Service,E-Commerce,Mumbai,Maharashtra,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,—,$1M to $10M,2016,heydeedee.com/,2,Jagdish Gothi,Revathi Roy,01-Oct,1,Seed,"Jun 4, 2018","₹ 3,30,00,000.00",Seed,"₹ 3,30,00,000.00",1,,,,
Digital Mall of Asia,Virtual Reality,,Delhi,Delhi,Digital Mall of Asia is creating an immersive digital presence by leveraging AR/VR technology.,—,—,"Jan 1, 2016",www.digitalmallofasia.com/,1,Rishabh Mehra,,01-Oct,1,Seed,"Nov 19, 2019","₹ 22,00,00,000.00",Seed,"₹ 22,00,00,000.00",1,,,,
LectureDekho,E-Learning,EdTech,Delhi,Delhi,LectureDekho is India's Most Affordable Mobile Learning Solution for Middle and Lower middle class Indians.,91,—,"Jan 3, 2016",lecturedekho.com,4,Ankit Tiwari,Anurag tiwari,Nov-50,2,Seed,"Sep 5, 2021","$ 1,00,000.00",Seed,"$ 1,15,356.00",—,,,,
3Hcare.in,Health Care,Hospital,New Delhi,Delhi,Online Portal For Healthcare Services.,110085,Less than $1M,2016,www.3hcare.in/,3,Gurdeep Singh Ratra,Ravinder Pal Malhotra,101-250,2,—,"Aug 14, 2018","$ 10,00,000.00",Venture - Series Unknown,"$ 11,00,000.00",—,,,,
SkillMap,Apps,Mobile Apps,Gurgaon,Haryana,Skillmap offers skill-based business consultancy and training services.,—,—,2016,skillmap.co/,1,Ashwani Gaur,,01-Oct,1,Seed,"Aug 28, 2018","₹ 2,00,00,000.00",Seed,"₹ 2,00,00,000.00",—,,,,
Nimble Growth Organics,AgTech,Farming,Bengaluru,Karnataka,Nimble Growth Organics provides technical know-how and controls the complete production and quality at the farm level.,560098,—,2016,nimblegrowth.in/,4,Abhisek Bhagchandka,Nagendra Kalkuli,Nov-50,1,Seed,"Sep 24, 2021","$ 5,82,000.00",Seed,"$ 5,82,000.00",2,Rajiv Mohan DVR,,,
Kalpnik Technologies,Computer,Software,Bengaluru,Karnataka,Kalpnik is revolutionising the very concept of devotee engagement in India.,560048,—,2016,kalpnik.com/about.html,3,Apul Nahata,Ashwani Garg,01-Oct,1,Seed,"May 28, 2018","$ 5,00,000.00",Seed,"$ 5,00,000.00",1,,,,
CVViZ,Artificial Intelligence (AI),Information Technology,Mumbai,Maharashtra,"CVViZ is an Artificial Intelligence powered, cloud based solution for your recruitment.",400069,—,"Jun 1, 2016",www.cvviz.com,2,Amit Gawande,Ashish Dhar,01-Oct,1,Seed,"Oct 16, 2016","$ 70,000.00",Pre-Seed,"$ 70,000.00",—,,,,
Trashin,Recycling,Waste Management,Bengaluru,Karnataka,Trashin is a cloud-based aggregator platform enabling the recycling value chain,560102,$1M to $10M,"Sep 20, 2016",www.trashin.in,3,Chandrashekar Bhat M,Nakul Chandrashekar,Nov-50,2,Seed,"Oct 31, 2021",—,Seed,"R$ 1,50,000.00",1,,,,
Infovys,Cloud Security,Cyber Security,Nasik,Maharashtra,"Infovys service is a set of technologies, processes, and practices designed to protect networks, computers, programs, and data from attack,",422001,Less than $1M,"Feb 26, 2016",infovys.com,1,Rohit Dalvi,,01-Oct,2,Private Equity,"Aug 1, 2020","$ 1,00,000.00",Private Equity,"$ 1,50,000.00",1,,,,
Click2Clinic Healthcare,Health Care,Hospital,Hyderabad,Andhra Pradesh,"Click2Clinic Healthcare is India’s Premier Healthcare aggregator of Hospitals, Clinics, Diagnostics, Pharmacy , Ambulance services.",500033,—,2016,click2clinic.com/,2,Murali Bharadwaz,Sujeeth Reddy Punnam,Nov-50,1,Seed,"Aug 2, 2017","$ 8,50,000.00",Seed,"$ 8,50,000.00",—,,,,
Webforce Labs,Artificial Intelligence (AI),Data Visualization,Bangalore,Karnataka,A data structuring and software outsourcing company,—,—,"Feb 22, 2016",,1,Vijay Sharma,,Nov-50,2,Seed,"Oct 1, 2021","$ 1,00,000.00",Seed,"$ 1,58,092.00",1,,,,
EdTechReview Media,Digital Media,EdTech,Delhi,Delhi,EdTechReview is a media platform for educational technology.,110018,$1M to $10M,Mar-16,edtechreview.in/,2,Shantanu Rana,Utkarsh Lokesh,Nov-50,1,Seed,"Jun 13, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",1,,,,
OT - Marketplace,Corporate Training,EdTech,Bengaluru,Karnataka,OT - Marketplace is a holistic learning service marketplace focused on Corporate Workforce Development.,5601002,—,2016,ot.market/,1,Brij Mohan,,Nov-50,1,Seed,"Jan 10, 2021","$ 1,75,000.00",Angel,"$ 1,75,000.00",—,,,,
OxyLoans,Financial Services,FinTech,Hyderabad,Andhra Pradesh,OxyLoans.com is a revolutionary FinTech platform.,500072,$1M to $10M,2016,oxyloans.com,1,Radhakrishna Thatavarti,,Nov-50,2,Seed,"Aug 20, 2018","$ 1,36,000.00",Angel,"$ 4,04,000.00",2,Isaac Varghese,,,
Prakshep,Analytics,Big Data,Bangalore,Karnataka,"Prakshep offers data services for crop health monitoring and assessment using satellite imagery, machine learning, and big data analytics.",—,$1M to $10M,2016,www.prakshep.com/,3,Avijeet Kumar Singh,Prithviraj Sen Sharma,Nov-50,1,M&A,"Jul 7, 2017","$ 5,00,000.00",Seed,"$ 5,00,000.00",1,,,,
Ask2meSolution Consultancy,Consulting,Information Services,Kanpur,Uttar Pradesh,Information Technology And Consultancy Firm,208004,—,"Jun 22, 2016",ask2mesolution.com,1,Shubham Chaudhary,,51-100,2,M&A,"Jun 22, 2019","$ 5,00,000.00",Seed,"$ 6,00,000.00",—,,,,
Growfitter,Fitness,Health Care,Mumbai,Maharashtra,Gamified digital health reward platform that adds financial benefits to your physical activity!,—,—,"Jan 1, 2016",www.growfitter.com/reward,2,Harshit Sethy,Sanmati Pande,Nov-50,5,Seed,"Aug 23, 2022","$ 5,00,000.00",Seed,"$ 21,00,000.00",18,Alchemist Accelerator,Venture Catalysts,Blockchain Founders Fund,DevX
Pling,Food and Beverage,Food Processing,Kochi,Kerala,Pling is an integrated multi food product company that makes customer choices simple by making alternative and healthy food and beverages.,682024,—,2016,gopling.com/,1,Andrine Mendez,,01-Oct,1,Seed,"Jun 6, 2018","$ 1,93,515.00",Seed,"$ 1,93,515.00",1,,,,
LabForSure,Analytics,Biotechnology,Gurgaon,Haryana,LabForSure is technology enabled Healthcare Delivery Network,122001,$1M to $10M,"Nov 24, 2015",www.labforsure.com,4,Amit Arora,Pankaj Mittal,101-250,1,Seed,"Dec 30, 2015","₹ 1,50,00,000.00",Angel,"₹ 1,50,00,000.00",—,,,,
Epocare,Health Care,Manufacturing,Mumbai,Maharashtra,Epocare is a healthcare company that develops cutting-edge medical imaging devices based on tissue biomarkers.,—,$1M to $10M,2016,epocare.in,3,Ayush Rawal,Deepak Kumar,01-Oct,1,Seed,"Sep 1, 2021","$ 2,50,000.00",Pre-Seed,"$ 2,50,000.00",1,,,,
AyurUniverse,Fitness,Health Care,Bangalore,Karnataka,"AyurUniverse is the first-of-its-kind, comprehensive wellness portal.",560043,$1M to $10M,2016,www.ayuruniverse.com/,2,Venkat Rao,Vijay Kumar Karai,Nov-50,1,—,"Jul 26, 2018","$ 10,00,000.00",Venture - Series Unknown,"$ 10,00,000.00",1,,,,
ListUp,E-Commerce,Internet,Mumbai,Maharashtra,ListUp is a revolutionary way to buy and sell with people around you.,400072,$1M to $10M,Jan-16,www.listup.co.in,3,Pulkit Gupta,Saurabh Jain,Nov-50,1,Seed,"Jun 8, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",1,,,,
Fresh Minds Services Pvt Ltd,Business Travel,Hospitality,Chennai,Tamil Nadu,FreshUp is founded by a group of innovative entrepreneurs as a concept hotel that offers facilities to freshen up.,600097,Less than $1M,"Jun 27, 2016",freshup.space,2,Mohan Ramalingam,Vinil Reddy,Nov-50,1,Seed,"Nov 6, 2017","$ 15,00,000.00",Seed,"$ 15,00,000.00",1,,,,
Typito,Video Editing,,Bangalore,Karnataka,Typito is a web-based drag-and-drop style application.,—,—,"Aug 7, 2016",typito.com/,4,Gaurav Mishra,Jatin Rastogi,01-Oct,1,Seed,"Dec 15, 2016","$ 70,000.00",Pre-Seed,"$ 70,000.00",—,,,,
Anaxx Food and Beverages (AFB) - PHALJAL,Food and Beverage,,Hyderabad,Andhra Pradesh,AFB focuses on Producing and Marketing 'Nutritional Products at an Affordable Price' for Consumers around the world.,500072,$1M to $10M,2016,www.phaljal.com,1,Akash Kulkarni,,01-Oct,3,Seed,"May 25, 2018","₹ 6,00,000.00",Seed,"₹ 13,50,000.00",1,,,,
PixelPhant,,,Udaipur,Rajasthan,"Product, Studio, Model, Fashion, Portrait, Wedding & Event Photo Editing for eCommerce, Photography Studios & Photographers.",313001,$1M to $10M,"Sep 9, 2016",pixelphant.com,2,Chetan Menaria,Swapnil Ramani,Nov-50,1,Seed,"Feb 24, 2017","$ 70,000.00",Pre-Seed,"$ 70,000.00",—,,,,
Kahaniya,Communities,Marketplace,Service Industry,,An online storytelling platform in regional languages.,500076,Less than $1M,2016,www.kahaniya.com/,3,India,Asia-Pacific (APAC),01-Oct,2,Seed,"Nov 17, 2017","$ 2,00,000.00",Seed,"$ 5,03,000.00",—,,,,
Bygrad,E-Learning,,Bengaluru,Karnataka,Bygrad is an #1 No. online higher education platform.,—,—,2016,www.bygrad.in,1,Abhimanyu Yadav,,101-250,1,Seed,"Mar 5, 2016","₹ 15,00,00,000.00",Seed,"₹ 15,00,00,000.00",1,,,,
Trucking Cube,Logistics,Service Industry,New Delhi,Delhi,A Revolution in the Logistics Industry,110034,$1M to $10M,"Jan 18, 2016",www.truckingcube.com/,1,Saransh Agarwal,,01-Oct,1,—,"Mar 14, 2016","$ 1,49,00,000.00",Venture - Series Unknown,"$ 1,49,00,000.00",—,,,,
RoboFun Lab,Education,Robotics,Surat,Gujarat,RoboFunLab is a skill development institute that provides to the K-12 schools across India in the field of STEM and Robotics Lab.,395007,—,2016,robofunlab.com,—,,,Nov-50,1,Seed,"Dec 12, 2022","$ 10,00,000.00",Seed,"$ 10,00,000.00",1,,,,
Healthfin,FinTech,Health Care,Pune,Maharashtra,For Surgeries & Medical Procedures.,—,$1M to $10M,2016,www.healthfin.in/,2,Parvaiz Hussain,Sonia Basu,01-Oct,1,Seed,"Aug 1, 2018","$ 5,00,000.00",Seed,"$ 5,00,000.00",2,Sprout Venture Partners,,,
Soolegal,Law Enforcement,,New Delhi,Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",110029,—,"Dec 1, 2015",www.soolegal.com,1,Manish Kaul,,Nov-50,1,—,"Oct 20, 2020","$ 40,00,000.00",Venture - Series Unknown,"$ 40,00,000.00",—,,,,
DigiConnectt,Analytics,Artificial Intelligence (AI),Bengaluru,Karnataka,Digitizing sales conversations to optimize sales performance and increase sales revenue.,560078,—,2016,lconnectt.com/,2,Prrashanth H. Nagaraj,Uma Dakshinamurthy,Nov-50,1,Seed,"Jun 4, 2018","$ 1,25,000.00",Seed,"$ 1,25,000.00",1,,,,
BALKANI INFOTAINMENT PVT LTD,Digital Entertainment,Digital Media,Bangalore,Karnataka,Balkani News operates as an online media service company.,560072,—,"Dec 23, 2016",www.balkaninews.com,3,BAQulis Banu,Melwin Mathias,Nov-50,2,Seed,"May 10, 2020","₹ 10,00,000.00",Seed,"₹ 70,00,000.00",1,,,,
NacFun,E-Learning,EdTech,New Delhi,Delhi,"edutech, gametech, healthtech, ed-tech",110065,—,"Jul 26, 2016",nacfun.com,2,A.R. Ghanashyam,Faisal Syed,51-100,3,Seed,"Jan 1, 2021","$ 2,50,000.00",Seed,"$ 37,50,000.00",3,TopYa Aspac LLC,Christopher Sargunam,,
Ohoshop mCommerce,E-Commerce,Mobile Apps,Ahmedabad,Gujarat,Personalized mCommerce Platform to create retail mobile app,380015,Less than $1M,"Mar 12, 2016",www.ohoshop.in/,3,Abhishek Agarwal,Nidhi Agarwal,Nov-50,1,Seed,"Mar 2, 2017","$ 10,00,000.00",Seed,"$ 10,00,000.00",1,,,,
Ekeeda,Apps,E-Learning,Mumbai,Maharashtra,"Ekeeda.com is e-learning platform for Engg students. We provide videos & other content for ESE, GATE & curriculum of 60+ Engg Universities",400012,—,"Mar 12, 2016",ekeeda.com,2,Anagha Wagh,Mahesh Wagh,01-Oct,1,Seed,"Jul 19, 2016","$ 65,000.00",Pre-Seed,"$ 65,000.00",—,,,,
Ocimum GreenPower Holdings Inc,Biomass Energy,Energy,Hyderabad,Andhra Pradesh,Building world's most efficient renewable energy company { Solar+Biomass+Wind}.,500084,$1M to $10M,"Nov 1, 2015",www.ocimumgreenpower.com,1,B K Kishore Reddy,,Nov-50,1,Early Stage Venture,"Nov 1, 2015","$ 22,50,000.00",Series A,"$ 22,50,000.00",—,,,,
Whyte Automations Pvt. Ltd.,Electronics,Information Technology,Ahmedabad,Gujarat,"Green Buildings, Smart Homes, Internet of Things",380058,—,"Sep 16, 2016",www.whyte.co.in,1,Purvesh Simejiya,,01-Oct,1,Seed,"Jun 20, 2019","₹ 50,00,000.00",Seed,"₹ 50,00,000.00",—,,,,
Poso,E-Commerce,Food and Beverage,Gurgaon,Haryana,Poso provides an online vegetables store.,110033,$1M to $10M,2016,www.posoapp.com/,1,Ankush Goyal,,Nov-50,2,Seed,"Sep 1, 2016","$ 1,04,000.00",Angel,"$ 2,11,000.00",4,Rishi Gupta,Rajul Jain,Badal Malick,
Scale Labs,E-Commerce,,Delhi,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,500081,Less than $1M,"Dec 8, 2016",www.thescalelabs.com,2,Kiran Kumar,Pramod Panchagnula,51-100,1,Seed,"Jul 6, 2018","$ 10,00,000.00",Seed,"$ 10,00,000.00",2,Vivek Agarwal,,,
EnglishEdge,Content,E-Learning,Noida,Uttar Pradesh,Liqvid English Edge is an e-learning content solutions company,—,Less than $1M,"Sep 20, 2016",englishedge.in/,1,Vivek Agarwal,,Nov-50,1,Early Stage Venture,"Sep 20, 2016","$ 10,00,000.00",Series A,"$ 10,00,000.00",1,,,,
Jhakaas,E-Commerce,E-Commerce Platforms,Mumbai,Maharashtra,Jhakaas Technologies aggregates local offline businesses.,—,—,Feb-16,www.jhakaas.co/,3,Ankita Chandaliya,Bharat Mandot,01-Oct,2,Seed,"Jul 27, 2017",—,Seed,"₹ 1,00,00,000.00",5,Amen Dhyllon,Anjani Prasad,Malini Patel,CP Sanadhya
Weirdass Comedy,Consulting,Events,Mumbai,Maharashtra,Weirdass Comedy is a comedy studio and consultancy company.,—,—,"Jan 1, 2016",www.weirdasscomedy.com/,4,Anuraag Srivastava,Girish Makhanlal Talwar,Nov-50,1,—,"Feb 5, 2019","₹ 1,00,00,000.00",Venture - Series Unknown,"₹ 1,00,00,000.00",1,,,,
Edyst,Education,Internet,Hyderabad,Andhra Pradesh,Edyst is an early stage online learning & employability startup for aspiring software developers.,500081,—,2016,edyst.com/,2,Aneeq Dholakia,Srinivas Sriramdas,01-Oct,1,Seed,"Mar 18, 2019","$ 1,50,000.00",Pre-Seed,"$ 1,50,000.00",1,,,,
GlobalGyan,Continuing Education,Corporate Training,Mumbai,Maharashtra,GlobalGyan is a digital learning platform that helps professionals in job readiness and career growth.,400016,—,"Apr 1, 2016",www.globalgyan.in,2,Sameer Kanse,Srinivasa Addepalli,Nov-50,4,Seed,"Jun 15, 2020",—,Seed,"$ 6,13,150.00",10,Ratan Tata,Ravi Ravulaparthi,Alok Bardiya,Gagandeep Singh
Amogha Polymers,Manufacturing,Professional Services,Coimbatore,Tamil Nadu,Amogha Polymers manufactures and sells polymer-based plumbing fittings and accessories.,641004,$1M to $10M,"Jul 6, 2016",www.amoghapolymers.com/,1,Anand NG,,5001-10000,1,Early Stage Venture,"Nov 8, 2016","$ 30,00,000.00",Series A,"$ 30,00,000.00",1,,,,
Oxen Farm Solutions,Agriculture,AgTech,Pune,Maharashtra,Oxen Farm Solutions specializes in farm mechanization services.,—,—,2016,www.oxenindia.com,1,Vishwajeet Singh,,Nov-50,1,Seed,"Nov 1, 2017","$ 3,00,000.00",Angel,"$ 3,00,000.00",—,,,,
EduKare,E-Learning,EdTech,Howrah,West Bengal,"EduKare is the one-stop educational platform for students, teachers, job seekers and educators in West Bengal.",711303,—,"Jan 28, 2016",edukare.in,2,Piyali M Roy,Purnendu Mukherjee,01-Oct,1,M&A,"Dec 1, 2019","₹ 40,000.00",Pre-Seed,"₹ 40,000.00",—,,,,
Freeofme,Charity,Crowdfunding,Delhi,Delhi,"Freeofme is a platform for Individuals, Social Activists and NGOs to unite positive energy and efforts towards Social Cause !",110063,$1M to $10M,"Jun 24, 2016",www.freeofme.com,1,Rekha Gupta,,01-Oct,1,Seed,"May 15, 2018","₹ 1,00,00,000.00",Seed,"₹ 1,00,00,000.00",—,,,,
VEQTA,Communities,Content,Delhi,Delhi,Veqta is India's leading destination for amazing sports content from across the globe.,—,$1M to $10M,"Dec 17, 2015",veqta.in,3,Gaurav Gill,Varun Mathur,01-Oct,1,M&A,"May 19, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",2,ITW,,,
Terre Brown,Consumer,E-Commerce,Mumbai,Maharashtra,A fashion-lifestyle brand build around leather products using the potential of 0 inventory model.,400013,—,"Aug 5, 2016",www.terrebrown.com,2,Mohit Singh,Om Anand,Nov-50,2,Seed,"Jan 12, 2017","$ 5,00,000.00",Seed,"$ 5,35,000.00",1,,,,
Flex Class,E-Learning,Education,Delhi,Delhi,Online skill development certifications and online MBA courses,—,Less than $1M,"Jan 10, 2016",www.flexclass.org,1,Anurag Vaid,,Nov-50,4,M&A,"Apr 13, 2017","$ 56,80,000.00",Venture - Series Unknown,"$ 1,86,69,100.00",1,,,,
COJAG,Analytics,Artificial Intelligence (AI),Nagpur,Maharashtra,"Drone Technology, Geophysical Services, Data Analytics, IoT and Co-Working Space",440027,—,"Nov 21, 2016",www.cojagtech.com/,1,Krunal Kalbende,,Nov-50,1,Seed,"Jan 1, 2019","$ 1,50,000.00",Seed,"$ 1,50,000.00",—,,,,
square plums,Hospitality,Real Estate,Bengaluru,Karnataka,"Ready to move-in, branded homes custom designed for singles.",—,$1M to $10M,"Feb 23, 2016",www.squareplums.com/,without having to spend on furnishing the house. What's more,—,—,,Smart Home,Amitabh Srivastava,https://www.crunchbase.com/person/amitabh-srivastava,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/square-plums,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/square-plums,"Jul 27, 2016",Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/square-plums,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/square-plums,1,Krishna Jha
truMe,Asset Management,Information Technology,Haryana,Haryana,truMe is an Identity and access management platform.,122018,—,2016,www.trume.in/,3,Babu Dayal,Lalit Mehta,Nov-50,1,Seed,"Dec 13, 2019","$ 1,45,000.00",Angel,"$ 1,45,000.00",1,,,,
BetterWealth,Financial Services,FinTech,Jaipur,Rajasthan,"BetterWealth offers advisory services that focus on mutual funds, investments, financial planning, portfolio management, and taxation.",302001,Less than $1M,"Mar 21, 2016",www.betterwealth.in,1,Anurag Agarwal,,Nov-50,1,—,"Dec 16, 2016","SEK 30,00,000.00",Venture - Series Unknown,"SEK 30,00,000.00",—,,,,
Haazri,Food and Beverage,Snack Food,Mumbai,Maharashtra,Haazri is a tea and snack quick service restaurant startup,400072,Less than $1M,Apr-16,www.haazri.com/,3,Arjun Midha,Dhruv Agarwal,01-Oct,1,Seed,"Sep 7, 2018","₹ 1,25,00,000.00",Seed,"₹ 1,25,00,000.00",1,,,,
Delium Technologies,Artificial Intelligence (AI),Machine Learning,Chennai,Tamil Nadu,AI and ML to solve the age-old unsolved problem in inventory for retailers,600042,—,"May 14, 2016",www.delium.ai,2,Arvind Kumar Chinniah,Simon Roy James Pulikal,01-Oct,1,Seed,"Oct 19, 2016","$ 70,000.00",Pre-Seed,"$ 70,000.00",—,,,,
Spotle.ai,Home Services,Online Forums,Kolkata,West Bengal,"\Spotle.ai comes from a belief - \""\""Our homes define what we are\""\"". Our homes are as unique as we make them.\""",—,—,Oct-15,spotle.ai/,2,Jyotirmay Kanthal,Rimjhim Ray,51-100,1,Seed,"Mar 14, 2017","$ 1,00,000.00",Seed,"$ 1,00,000.00",—,,,,
AspireBuzz,Education,,Hyderabad,Andhra Pradesh,"AspireBuzz an educational tech-bridge, that connects quality educators and aspiring learners by providing leading-edge e-Learning platform.",500072,—,2016,www.aspirebuzz.com,1,Vijay Basani,,Nov-50,2,Seed,"Apr 1, 2017","$ 75,000.00",Pre-Seed,"$ 1,50,000.00",—,,,,
Steradian Semiconductors,Delivery,Semiconductor,Bangalore,Karnataka,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,560048,$1M to $10M,"Jan 22, 2016",steradiansemi.com/,4,Apu Sivadas,Ashish Lachhwani,Nov-50,4,M&A,"Nov 4, 2020",—,Venture - Series Unknown,"$ 20,75,000.00",2,Inflexion Partners,,,
PurpleHealth,Brand Marketing,Consulting,Thiruvananthapuram,Kerala,Making healthcare Hyperlocal and Credible with technology,695581,—,"Dec 16, 2015",www.purplehealth.com/,4,Mini Balaraman,Nagarjun Mishra,Nov-50,1,Seed,"May 18, 2016","$ 1,00,000.00",Seed,"$ 1,00,000.00",1,,,,
BuyTestSeries.com,E-Commerce,EdTech,Pune,Maharashtra,BuyTestSeries.com is an marketplace that helps students find the best coaching institutes & eLearning products across India.,411037,$1M to $10M,"Oct 15, 2015",www.buytestseries.com,4,Ankit Jain,Himanshu Jain,Nov-50,2,Seed,"Apr 10, 2018","₹ 1,00,00,000.00",Seed,"₹ 1,30,00,000.00",1,,,,
TalkaDoc,Health Care,Information Technology,Hyderabad,Andhra Pradesh,TalkaDoc is a Value Based Patient Engagement Healthcare Platform.,—,—,"Mar 9, 2016",www.talkadoc.com,1,Chaitanya Josyula,,01-Oct,3,Seed,"May 14, 2018","$ 29,600.00",Seed,"$ 29,600.00",1,,,,
FindBusy,Internet,Marketing,Bangalore,Karnataka,we promote our client’s business at all relevant platforms with extensive market research and analysis.,560102,—,"Sep 18, 2016",www.findbusy.com/,—,,,Nov-50,1,Seed,"Aug 1, 2017","₹ 3,00,000.00",Seed,"₹ 3,00,000.00",—,,,,
McXtra,Finance,Financial Services,Andheri,Maharashtra,McXtra is a digital insurance broking startup.,—,—,2016,www.mcxtra.com/,2,A S Narayanan,Nimish Airon,Nov-50,1,Seed,"Jul 13, 2018","$ 13,00,000.00",Seed,"$ 13,00,000.00",—,,,,
Sports Flashes Pvt. Ltd,Basketball,Cricket,New Delhi,Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",—,$1M to $10M,2016,sportsflashes.com/en,1,Raman Raheja,Volley Ball,51-100,3,Seed,"Jun 4, 2018","$ 10,00,000.00",Seed,"$ 10,00,000.00",2,SRI Capital,,,
RenTrip,Last Mile Transportation,Rental,Fatehpur,Uttar Pradesh,Motorcycle Rental,212601,$1M to $10M,"Jun 24, 2016",www.rentrip.in,3,Agam Raghav,Shailza Singh Bhadauriya,01-Oct,1,Seed,"Oct 27, 2016","$ 70,000.00",Pre-Seed,"$ 70,000.00",—,,,,
Origgon,Search Engine,Semantic Search,Mumbai,Maharashtra,"Origgon is a social search engine, tries to give you better, deeper, faster results on the basis of human signals from your social circles.",400079,Less than $1M,"Jun 28, 2016",origgon.com,let that be picture or text or a emoji or a news article or a meme anything. We share because we believe the content is worth it or at-least for yourself it is important. Taking those recommendation,"to personalise and recommend the results.\"",—,,,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,https://www.crunchbase.com/organization/gennext-ventures,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/origgon-com,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/origgon-com,—,,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/origgon-com,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/origgon-com,1
Hipcouch,E-Commerce,Furniture,Bandra,Maharashtra,An online business to business furniture solutions startup,—,—,2016,www.hipcouch.com/,2,Pankaj Poddar,Parikshat Hemrajani,1-10,1,Seed,Jan 15","2017""","$ 7,00,000.00",Seed,"$ 7,00,000.00",—,,,,,,,,
TrionCube,Artificial Intelligence (AI),Big Data,Hyderabad,Andhra Pradesh,TrionCube is an early stage technology product company that provides solutions to sales industry.,500033,—,"Sep 5, 2016",trioncube.com,1,Farooq A Rahim,,Nov-50,2,Seed,"Oct 21, 2017","$ 1,00,000.00",Seed,"$ 2,50,000.00",1,,,,
TriOcula Technologies,Artificial Intelligence (AI),Electronics,Bengaluru,Karnataka,AR and AI based Surgical Navigation and Simulators,560109,—,"Apr 29, 2016",triocula.com,3,Abhishek Venkataram,Aravind Upadhyaya,01-Oct,1,Seed,"Dec 25, 2017","$ 50,000.00",Pre-Seed,"$ 50,000.00",1,,,,
Wifi Dabba,Internet,ISP,Bangalore,Karnataka,Wifi Dabba provide wifi network that keeps you connected.,—,$1M to $10M,2016,wifidabba.com/,2,Karan Lakshman,Shubhendu Sharma,Nov-50,1,Seed,"Mar 20, 2017",—,Seed,—,5,Chris Sang,Generation Ventures,Tao Zhang,Sujayath Ali
LoanYantra,Financial Services,FinTech,Hyderabad,Andhra Pradesh,LoanYantra is an online system for monitoring and managing home loans.,500032,—,"Jan 3, 2016",loanyantra.com/,2,Harsha Raghavendra,K Vijayananda Reddy,Nov-50,1,Seed,"Apr 1, 2018","$ 3,50,000.00",Seed,"$ 3,50,000.00",—,,,,
Rydey,Transportation,Travel,Trivandrum,Kerala,Rydey is a technology enabled transportation platform.,695583,$1M to $10M,2016,rydey.in,1,Sarin Prasad,,01-Oct,1,Seed,"Jan 1, 2018","₹ 5,00,000.00",Seed,"₹ 5,00,000.00",—,,,,
Theranosis Life Sciences,3D Printing,Biotechnology,Life Science,Medical Device,A fully functioning cell culture facility and molecular biology setup.,500007,$1M to $10M,2016,theranosis.com/,2,India,Asia-Pacific (APAC),01-Oct,3,Seed,"Jun 11, 2018",—,Seed,"$ 60,100.00",3,50K Ventures,,,
hire4event.com,Event Management,Rental,Noida,Uttar Pradesh,hire4event.com is a new startup concept for Online Event Equipment Rental Services.,201306,—,"Nov 20, 2015",hire4event.com,1,Amresh Verma,,Nov-50,1,Seed,"Sep 27, 2017","$ 1,00,000.00",Seed,"$ 1,00,000.00",—,,,,
Faclon Labs,Analytics,Cloud Computing,Mumbai,Maharashtra,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,400072,—,"Jun 13, 2016",faclon.com/,3,Archit Naraniwal,Rishi Sharma,Nov-50,3,Seed,"Mar 3, 2021",—,Seed,—,6,Bennett Coleman and Co Ltd,thinQbate,Neev Angel Advisors,Sarjan Shah
