Company,Funding Round,Amount,Date,RupeesAmount,dollarAmt,CID
Hero Honda Motors,Private Equity,—,"Jan 5, 2023",0,0,CID5171
RBL Bank,Venture - Series Unknown,"$54,370,000","Aug 18, 2016",4077750000,48933000,CID5172
Memesys Culture Lab,Pre-Seed,—,"Feb 1, 2023",0,0,CID5173
Nat Habit,Pre-Seed,—,"Apr 23, 2020",0,0,CID5174
Neend,Seed,—,"Dec 3, 2021",0,0,CID5175
LogiPe,Seed,—,"Apr 4, 2022",0,0,CID5176
Maya Labs,Seed,—,"Dec 3, 2020",0,0,CID5177
Karkinos Healthcare,Series B,—,"Oct 5, 2022",0,0,CID5178
EVINDIA,Pre-Seed,—,"Mar 1, 2022",0,0,CID5179
Open Secret,Seed,—,"Jun 4, 2019",0,0,CID5180
Koskii,Series A,"₹610,000,000","Jun 28, 2023",610000000,7320000,CID5181
LocalWell Healthtech,Seed,—,"Jun 4, 2022",0,0,CID5182
EQUIP9,Seed,"$650,000","Dec 1, 2022",48750000,585000,CID5183
Vyome Therapeutics,Series D,"$22,000,000","Jan 3, 2019",1650000000,19800000,CID5184
Fleek,Seed,—,"Jun 13, 2023",0,0,CID5185
Wheebox,Series A,"$5,000,000","Feb 3, 2017",375000000,4500000,CID5186
Navi Technologies,Debt Financing,"₹6,000,000,000","May 12, 2022",6000000000,72000000,CID5187
Coforge,Post-IPO Secondary,"₹8,870,000,000","May 2, 2023",8870000000,106440000,CID5188
BillionE (BillionElectric),Seed,"$10,000,000","Jun 27, 2023",750000000,9000000,CID5189
Muthoot Microfin,Private Equity,"$10,000,000","Oct 3, 2022",750000000,9000000,CID5190
Enzen Global Solutions,Private Equity,"₹6,850,000,000","Jul 10, 2019",6850000000,82200000,CID5191
Nestroots,Debt Financing,—,"Jul 2, 2021",0,0,CID5192
Sukham,Pre-Seed,"₹25,000,000","Jan 21, 2023",25000000,300000,CID5193
E2E Networks,Seed,—,"Mar 11, 2010",0,0,CID5194
ADVNCEPROTEC AUTOMATION PRIVATE LIMITED (APAPL),Pre-Seed,"$267,028","Mar 25, 2023",20027100,240325.2,CID5195
Kaya Skin Clinic,Post-IPO Equity,"$4,000,000","Apr 4, 2022",300000000,3600000,CID5196
Khatabook,Series C,"₹7,430,000,000","Aug 24, 2021",7430000000,89160000,CID5197
Sputnik Brain,Grant,—,"Nov 11, 2022",0,0,CID5198
MeraPashu360,Venture - Series Unknown,"$5,500,000","Apr 1, 2022",412500000,4950000,CID5199
IBS Software Services,Secondary Market,"$450,000,000","May 15, 2023",33750000000,405000000,CID5200
MedTourEasy,Series A,"$1,500,000","Mar 3, 2023",112500000,1350000,CID5201
Upswing Financial Technologies,Seed,"₹300,000,000","Feb 28, 2022",300000000,3600000,CID5202
Ecom Express,Private Equity,"$250,000,000","Dec 16, 2020",18750000000,225000000,CID5203
GreenCell Mobility,Grant,"$5,525,000","Nov 7, 2022",414375000,4972500,CID5204
Heads Up For Tails,Seed,"$1,000,000","Feb 5, 2016",75000000,900000,CID5205
Fibr- AI-native Platform for Enterprise Marketers,Seed,"$2,000,000","Jun 24, 2023",150000000,1800000,CID5206
BharatNXT,Seed,"$1,200,000","Jun 1, 2023",90000000,1080000,CID5207
Kashware,Pre-Seed,—,"Jan 1, 2021",0,0,CID5208
F45 Training,Seed,—,"Jan 1, 2021",0,0,CID5209
"WTF : Fitness, Diet and Smart Gyms",Angel,"$120,000","Mar 15, 2023",9000000,108000,CID5210
2070 Health,Seed,"$30,000,000","Jun 7, 2023",2250000000,27000000,CID5211
Recur Club,Seed,—,"Jan 1, 2022",0,0,CID5212
Pando,Series B,"$30,000,000","May 3, 2023",2250000000,27000000,CID5213
Truliv,Pre-Seed,"₹120,000,000","Jun 21, 2023",120000000,1440000,CID5214
Tummoc,Seed,"$1,000,000","Jun 22, 2023",75000000,900000,CID5215
UnivLabs,Non-equity Assistance,—,"Jan 1, 2023",0,0,CID5216
DevX,Venture - Series Unknown,"$3,000,000","Apr 24, 2023",225000000,2700000,CID5217
FootLoose Labs,Seed,—,"Dec 11, 2022",0,0,CID5218
Hirehike,Pre-Seed,"$1,000,000","Dec 20, 2020",75000000,900000,CID5219
TradingLeagues,Seed,"$3,500,000","Jun 7, 2023",262500000,3150000,CID5220
GenWise,Seed,"$3,500,000","Apr 12, 2023",262500000,3150000,CID5221
Orange Health Labs,Series A,"$10,000,000","Sep 4, 2021",750000000,9000000,CID5222
Marksman Technologies,Seed,—,"Mar 10, 2010",0,0,CID5223
Disbug,Pre-Seed,"$100,000","May 25, 2023",7500000,90000,CID5224
Red Fort Capital,Debt Financing,"₹115,000,000","Jun 21, 2023",115000000,1380000,CID5225
Entrepreneur Excel,Seed,—,"Sep 2, 2022",0,0,CID5226
Spark Studio,Seed,—,"Mar 20, 2022",0,0,CID5227
Waffle House India,Seed,—,"Sep 15, 2022",0,0,CID5228
Fairchem Specialty,Post-IPO Equity,"₹1,314,100,000","Jan 1, 2016",1314100000,15769200,CID5229
Raven,Pre-Seed,"$100,000","Jan 30, 2023",7500000,90000,CID5230
InsightGig,Pre-Seed,"$100,000","Jan 10, 2023",7500000,90000,CID5231
Krtya Softwares,Pre-Seed,"$100,000","Mar 30, 2023",7500000,90000,CID5232
Material Depot,Seed,"$1,400,000","Mar 28, 2022",105000000,1260000,CID5233
LabaHolic,Pre-Seed,"$110,000","Jun 9, 2023",8250000,99000,CID5234
Infinite Uptime,Series B,"₹1,560,000,000","May 22, 2023",1560000000,18720000,CID5235
Grouple,Seed,"$60,000","May 30, 2023",4500000,54000,CID5236
Welspun India,Post-IPO Equity,"₹1,625,000,000","Nov 1, 2021",1625000000,19500000,CID5237
Azure Hospitality,Venture - Series Unknown,"₹650,000,000","Jan 24, 2018",650000000,7800000,CID5238
SeQuent Scientific,Post-IPO Equity,"₹1,300,000,000","Jun 29, 2020",1300000000,15600000,CID5239
Skills Caravan,Seed,—,"Jun 12, 2023",0,0,CID5240
Groyyo,Series A,"$28,000,000","Jun 14, 2022",2100000000,25200000,CID5241
Toothsi,Series C,"$40,000,000","May 1, 2022",3000000000,36000000,CID5242
Toddle,Seed,—,"Apr 18, 2021",0,0,CID5243
Tingo,Seed,—,"Jan 31, 2022",0,0,CID5244
TyrePlex,Series A,—,"Jun 3, 2022",0,0,CID5245
Powerplay,Seed,—,"Dec 1, 2020",0,0,CID5246
SquadStack,Seed,—,"May 10, 2015",0,0,CID5247
Rein Games,Seed,—,"Dec 19, 2018",0,0,CID5248
Stamurai,Seed,—,"Jun 28, 2021",0,0,CID5249
XFlow,Seed,—,"Jul 1, 2021",0,0,CID5250
Remedo Healthcare,Seed,—,"Feb 15, 2022",0,0,CID5251
Shuru,Seed,—,"Nov 8, 2021",0,0,CID5252
RapidBox,Seed,—,"Mar 3, 2020",0,0,CID5253
Shadowfax,Seed,—,"Jun 14, 2015",0,0,CID5254
Wobot Intelligence,Seed,—,"Apr 19, 2019",0,0,CID5255
The Bread Company,Seed,—,"Mar 8, 2019",0,0,CID5256
Workduck,Seed,—,"Jun 18, 2021",0,0,CID5257
Veritas Finance,Series C,"₹600,000,000","Oct 1, 2018",600000000,7200000,CID5258
Trinkerr,Pre-Seed,—,"Mar 10, 2021",0,0,CID5259
Ripik.AI,Seed,—,"May 15, 2022",0,0,CID5260
FlexiLoans,Series B,"$28,000,000","Jun 7, 2022",2100000000,25200000,CID5261
Saarthi.ai,Non-equity Assistance,—,"Aug 20, 2019",0,0,CID5262
Infinity Assurance Solutions,Pre-Seed,—,"Mar 16, 2013",0,0,CID5263
RetailWorks,Seed,—,"Aug 20, 2015",0,0,CID5264
E2E Networks,Pre-Seed,—,"Mar 20, 2020",0,0,CID5265
GoCoop,Pre-Seed,—,"Mar 3, 2014",0,0,CID5266
Cheq Money,Pre-Seed,"$550,000","Feb 2, 2022",41250000,495000,CID5267
Shuru,Seed,"$1,000,000","Jun 21, 2022",75000000,900000,CID5268
Adani Electricity,Private Equity,—,"Jan 1, 2020",0,0,CID5269
Stan,Seed,—,"Feb 9, 2023",0,0,CID5270
upsurge,Seed,—,"Jun 6, 2022",0,0,CID5271
Mimblu,Pre-Seed,—,"Mar 3, 2022",0,0,CID5272
Artfine Advisory,Seed,"$250,000","Jan 20, 2023",18750000,225000,CID5273
Hireavilla,Venture - Series Unknown,—,"Jan 1, 2019",0,0,CID5274
PropertyPistol,Series A,"$5,500,000","May 5, 2023",412500000,4950000,CID5275
Sapphire Foods,Secondary Market,"₹4,172,900,000","Jun 27, 2023",4172900000,50074800,CID5276
Full Stack Lawyer LLP,Pre-Seed,"$250,000","Jun 11, 2022",18750000,225000,CID5277
Eigenlytics,Seed,"$250,000","Jul 27, 2022",18750000,225000,CID5278
Intelimek Systems,Pre-Seed,"$250,000","Jan 25, 2023",18750000,225000,CID5279
Cleardekho,Seed,"₹300,000,000","Oct 20, 2021",300000000,3600000,CID5280
AllFive,Seed,"$250,000","Jul 30, 2022",18750000,225000,CID5281
Xpertifi,Seed,"$250,000","Jul 8, 2022",18750000,225000,CID5282
Watchyourhealth.com,Seed,"₹185,000,000","Jun 28, 2023",185000000,2220000,CID5283
PayCrunch,Pre-Seed,"$250,000","Dec 9, 2022",18750000,225000,CID5284
Indus Towers,Private Equity,—,"Jan 1, 2017",0,0,CID5285
Flurn,Seed,—,"Jan 1, 2021",0,0,CID5286
Mowito,Seed,"$250,000","May 17, 2022",18750000,225000,CID5287
Jnana Marga Technologies,Seed,"$250,000","Mar 9, 2022",18750000,225000,CID5288
Happy60plus Pvt Ltd,Pre-Seed,"$250,000","Nov 5, 2021",18750000,225000,CID5289
Maddy,Pre-Seed,"$250,000","Mar 21, 2022",18750000,225000,CID5290
Anur Cloud Technologies,Seed,—,"Jul 3, 2022",0,0,CID5291
Zypp Electric,Angel,—,"Oct 1, 2022",0,0,CID5292
RaiseToPi,Pre-Seed,"$250,000","Apr 27, 2022",18750000,225000,CID5293
CampusDunia,Pre-Seed,"$250,000","Nov 25, 2021",18750000,225000,CID5294
eHealthFlex,Pre-Seed,"$250,000","May 6, 2022",18750000,225000,CID5295
Easy to Pitch,Seed,—,"Jan 1, 2023",0,0,CID5296
Colandian,Pre-Seed,"$250,000","Nov 22, 2021",18750000,225000,CID5297
HnH Salad Bar and Cafe,Seed,—,"Aug 1, 2022",0,0,CID5298
WitBlox,Seed,"$250,000","Jan 1, 2022",18750000,225000,CID5299
WHIDE,Seed,"$250,000","Nov 1, 2021",18750000,225000,CID5300
Sepio Solutions,Pre-Seed,"$250,000","Dec 1, 2021",18750000,225000,CID5301
KhetiPoint,Pre-Seed,"$250,000","Nov 1, 2021",18750000,225000,CID5302
Coding and More,Pre-Seed,"$250,000","Dec 8, 2021",18750000,225000,CID5303
Tiesta,Seed,"$250,000","Dec 6, 2021",18750000,225000,CID5304
Happy Soul,Seed,—,"Apr 5, 2022",0,0,CID5305
ProcessIT Global Private Limited,Seed,"$250,000","Feb 16, 2022",18750000,225000,CID5306
myLearn,Pre-Seed,"$250,000","Nov 1, 2021",18750000,225000,CID5307
SSK EMart,Pre-Seed,"$250,000","Dec 20, 2021",18750000,225000,CID5308
CredR,Seed,—,"Jun 30, 2015",0,0,CID5309
SanKash,Seed,"$250,000","Sep 1, 2021",18750000,225000,CID5310
NIFLR,Series A,"$250,000","Jul 12, 2021",18750000,225000,CID5311
One Young India,Pre-Seed,"$250,000","Oct 1, 2021",18750000,225000,CID5312
Webi7 Digital Media,Pre-Seed,"$250,000","Oct 4, 2021",18750000,225000,CID5313
DealShare,Series A,—,"Sep 28, 2019",0,0,CID5314
Verimployee,Pre-Seed,"$250,000","Nov 1, 2021",18750000,225000,CID5315
Mool,Pre-Seed,"$250,000","Sep 30, 2021",18750000,225000,CID5316
Tyke,Seed,—,"Jan 1, 2023",0,0,CID5317
YourPhysio,Seed,—,"Dec 30, 2020",0,0,CID5318
KonfHub,Seed,"$250,000","Dec 15, 2021",18750000,225000,CID5319
Hike,Series D,—,"Aug 3, 2021",0,0,CID5320
InstaSell,Seed,—,"Feb 2, 2022",0,0,CID5321
indiagold,Seed,—,"Apr 14, 2020",0,0,CID5322
Rannkly,Seed,"₹1,250,000","Jun 24, 2023",1250000,15000,CID5323
GIVA,Seed,—,"Dec 24, 2019",0,0,CID5324
Crypso,Seed,—,"Nov 30, 2021",0,0,CID5325
Lalo Retail Ventures,Pre-Seed,"$250,000","Oct 8, 2021",18750000,225000,CID5326
Wundrsight Healthcare,Pre-Seed,—,"Mar 1, 2023",0,0,CID5327
Fruitoholic,Pre-Seed,"₹80,000,000","Apr 1, 2021",80000000,960000,CID5328
Samosa Party Foods,Series A,—,"Nov 3, 2022",0,0,CID5329
Travel Buddy,Pre-Seed,"$250,000","Feb 22, 2021",18750000,225000,CID5330
Circle of Life Healthcare,Seed,"$250,000","Jul 23, 2021",18750000,225000,CID5331
Millet Express,Corporate Round,—,"May 1, 2023",0,0,CID5332
OMG LABS,Seed,"$250,000","Feb 21, 2022",18750000,225000,CID5333
Otipy,Seed,"$1,000,000","Aug 24, 2020",75000000,900000,CID5334
Hitwicket,Angel,"$300,000","Nov 12, 2015",22500000,270000,CID5335
NUOS,Pre-Seed,"$250,000","Apr 30, 2021",18750000,225000,CID5336
Health Basix,Seed,—,"Jun 5, 2023",0,0,CID5337
Epocare,Pre-Seed,"$250,000","Sep 1, 2021",18750000,225000,CID5338
PYT,Pre-Seed,"$250,000","Oct 30, 2021",18750000,225000,CID5339
Gemini Equipment And Rentals,Private Equity,—,"Jun 14, 2018",0,0,CID5340
AVANI,Pre-Seed,—,"Mar 23, 2022",0,0,CID5341
Cannarma,Seed,—,"Jun 1, 2023",0,0,CID5342
Raksha Health,Seed,—,"Jul 1, 2019",0,0,CID5343
Mylab Discovery Solutions,Corporate Round,"₹1,060,000,000","Jun 24, 2023",1060000000,12720000,CID5344
EthosX,Seed,—,"Oct 19, 2022",0,0,CID5345
200 Million Artisans,Pre-Seed,—,"Oct 20, 2020",0,0,CID5346
HomeLane,Convertible Note,"₹750,000,000","Jun 15, 2023",750000000,9000000,CID5347
WareIQ,Seed,—,"Aug 1, 2022",0,0,CID5348
Urban Matrix,Seed,—,"Jan 1, 2019",0,0,CID5349
ZOKO,Seed,—,"Jul 1, 2022",0,0,CID5350
Avendus Future Leaders,Private Equity,—,"Jan 1, 2016",0,0,CID5351
Zingbus,Seed,—,"Jan 1, 2022",0,0,CID5352
Chhotastock,Seed,—,"Jan 1, 2023",0,0,CID5353
Omnivio,Seed,—,"Jan 1, 2021",0,0,CID5354
Arka Aerospace,Venture - Series Unknown,—,"Jan 1, 2019",0,0,CID5355
Metalbook,Seed,"$5,000,000","Aug 29, 2022",375000000,4500000,CID5356
BetterPlace,Series C,"$24,000,000","Sep 13, 2021",1800000000,21600000,CID5357
AssetPlus,Seed,—,"Jan 1, 2016",0,0,CID5358
Entitled Solutions,Seed,—,"Jan 1, 2019",0,0,CID5359
UrbanKisaan,Seed,"$1,500,000","Mar 16, 2020",112500000,1350000,CID5360
Vahan,Seed,—,"Oct 7, 2019",0,0,CID5361
Polygenta Technologies,Post-IPO Debt,"₹150,000,000","Jul 21, 2014",150000000,1800000,CID5362
Polygenta Technologies,Post-IPO Equity,"₹70,000,000","Jul 21, 2014",70000000,840000,CID5363
Maya Labs,Seed,—,"Jul 1, 2022",0,0,CID5364
Wizely,Seed,"$1,500,000","Dec 30, 2017",112500000,1350000,CID5365
Mera Gaon,Seed,—,"Apr 1, 2023",0,0,CID5366
BALWAAN Agri,Seed,"$2,000,000","May 30, 2023",150000000,1800000,CID5367
Leaf Fintech,Seed,—,"Jan 1, 2017",0,0,CID5368
Octexworld Group Of Companies,Private Equity,"₹200,000","Apr 1, 2023",200000,2400,CID5369
Vahak,Series A,"$13,000,000","Jun 20, 2022",975000000,11700000,CID5370
LikeMinds,Seed,—,"Jan 1, 2020",0,0,CID5371
91Squarefeet,Pre-Seed,"$1,000,000","Jan 7, 2022",75000000,900000,CID5372
COGOS Technologies,Debt Financing,"₹100,000,000","Feb 21, 2023",100000000,1200000,CID5373
LaundryMate,Seed,"₹500,000,000","May 29, 2023",500000000,6000000,CID5374
BIK,Venture - Series Unknown,—,"Apr 1, 2022",0,0,CID5375
Eunimart,Seed,"$700,000","Apr 2, 2021",52500000,630000,CID5376
ZeonAI Labs,Seed,"$100,000","Jun 1, 2023",7500000,90000,CID5377
Questbook,Series A,"$8,300,000","May 18, 2022",622500000,7470000,CID5378
Vahan,Series A,"$8,000,000","Sep 15, 2021",600000000,7200000,CID5379
Agraga,Series A,"₹700,000,000","May 16, 2023",700000000,8400000,CID5380
Kazam,Non-equity Assistance,—,"Jun 20, 2023",0,0,CID5381
Kheyti,Venture - Series Unknown,—,"Aug 24, 2020",0,0,CID5382
Hike,Venture - Series Unknown,"$14,000,000","Mar 31, 2014",1050000000,12600000,CID5383
Statiq,Seed,"$2,300,000","Nov 7, 2020",172500000,2070000,CID5384
Captiv Techno Solutions,Seed,"$500,000","Aug 26, 2022",37500000,450000,CID5385
Coforge,Post-IPO Equity,"$381,000,000","Apr 6, 2019",28575000000,342900000,CID5386
Polynomial,Seed,—,"May 11, 2023",0,0,CID5387
Tydy,Seed,"$400,000","Dec 1, 2021",30000000,360000,CID5388
Kreo,Seed,"₹65,000,000","May 23, 2023",65000000,780000,CID5389
Furlenco,Series C,—,"Sep 17, 2018",0,0,CID5390
Rocketium,Seed,"$700,000","May 27, 2019",52500000,630000,CID5391
Mugafi,Pre-Seed,"$50,000","Aug 8, 2020",3750000,45000,CID5392
Bridge Healthcare,Seed,—,"Jun 13, 2023",0,0,CID5393
AIQ Connect,Seed,—,"Jun 13, 2023",0,0,CID5394
Fontierz,Seed,—,"Jun 13, 2023",0,0,CID5395
Ztop IOT Solutions,Seed,—,"Jun 13, 2023",0,0,CID5396
Dealmoney,Venture - Series Unknown,—,"Jan 1, 2009",0,0,CID5397
Drools,Venture - Series Unknown,"₹4,900,000,000","Jun 20, 2023",4900000000,58800000,CID5398
Berry Avionics,Seed,—,"Jun 13, 2023",0,0,CID5399
Quicko Media,Pre-Seed,"$2,000","Aug 13, 2022",150000,1800,CID5400
Recyclebaba,Seed,—,"Jun 13, 2023",0,0,CID5401
Origo Commodities,Venture - Series Unknown,"$11,000,000","Oct 1, 2018",825000000,9900000,CID5402
Machenn,Seed,—,"Jun 13, 2023",0,0,CID5403
Koo App,Seed,—,"Mar 1, 2020",0,0,CID5404
Sattviko,Seed,"₹20,000,000","Feb 25, 2015",20000000,240000,CID5405
LogiPe,Pre-Seed,—,"Jan 1, 2021",0,0,CID5406
Cloudworx,Seed,"$60,000","Oct 13, 2022",4500000,54000,CID5407
CORR ROBOTICS,Seed,—,"Jun 13, 2023",0,0,CID5408
Euphelity,Seed,—,"Jun 13, 2023",0,0,CID5409
Tumpudi Automotive,Seed,—,"Jun 13, 2023",0,0,CID5410
Aaiena,Seed,—,"Jun 13, 2023",0,0,CID5411
SparkLiv Innovation,Seed,—,"Jun 13, 2023",0,0,CID5412
GrowPro,Seed,—,"Jun 13, 2023",0,0,CID5413
Sahy electric,Seed,—,"Jun 13, 2023",0,0,CID5414
Gau Rakshak,Seed,—,"Jun 13, 2023",0,0,CID5415
VR Green,Seed,—,"Jun 13, 2023",0,0,CID5416
Airbots Aerospace,Seed,—,"Jun 13, 2023",0,0,CID5417
Eco365,Seed,—,"Jun 13, 2023",0,0,CID5418
Upcycleluxe,Seed,—,"Jun 13, 2023",0,0,CID5419
JetsonsRobotics,Seed,—,"Jun 13, 2023",0,0,CID5420
Bluegreens,Seed,—,"Jun 13, 2023",0,0,CID5421
Dailygurus,Seed,—,"Jun 13, 2023",0,0,CID5422
Adhyay,Seed,—,"Jun 13, 2023",0,0,CID5423
PedalX,Seed,—,"Jun 13, 2023",0,0,CID5424
Educlouds,Seed,—,"Jun 13, 2023",0,0,CID5425
Humanli.Ai,Seed,—,"Jun 13, 2023",0,0,CID5426
Raytom Medical Systems,Seed,—,"Jun 13, 2023",0,0,CID5427
Airtribe,Pre-Seed,—,"May 1, 2021",0,0,CID5428
Larkai Healthcare,Seed,—,"Jan 1, 2021",0,0,CID5429
Neuphony,Seed,—,"Jun 20, 2023",0,0,CID5430
Respct,Pre-Seed,—,"Jun 30, 2022",0,0,CID5431
Haqdarshak,Seed,—,"Apr 25, 2023",0,0,CID5432
Starya,Seed,"$2,000,000","Jun 19, 2023",150000000,1800000,CID5433
Capital Small Finance Bank,Corporate Round,"₹495,000,000","Jun 19, 2023",495000000,5940000,CID5434
Better Opinions,Seed,"₹200,000,000","Jul 22, 2022",200000000,2400000,CID5435
Pura Organic Agro Tech,Grant,"$225,250","Aug 6, 2021",16893750,202725,CID5436
Akudo,Seed,"₹310,000,000","Sep 27, 2021",310000000,3720000,CID5437
Respct,Pre-Seed,—,"Sep 9, 2022",0,0,CID5438
Alpha5,Seed,—,"Apr 1, 2020",0,0,CID5439
Roots Ventures,Seed,—,"Dec 10, 2019",0,0,CID5440
Memory,Seed,"$700,000","Jun 9, 2023",52500000,630000,CID5441
MyHealthcare,Series A,—,"Nov 6, 2019",0,0,CID5442
Mannjal,Pre-Seed,—,"Jan 1, 2023",0,0,CID5443
Relume ipsum,Seed,"$550,000","Apr 29, 2023",41250000,495000,CID5444
Oceanaire Yachting,Seed,—,"Apr 22, 2019",0,0,CID5445
Anny AI,Seed,"$450,000","Apr 24, 2023",33750000,405000,CID5446
Goodmeetings,Seed,"₹120,000,000","Aug 6, 2021",120000000,1440000,CID5447
Red Otter Farms,Seed,—,"Apr 5, 2019",0,0,CID5448
N+1 Capital,Venture - Series Unknown,—,"May 21, 2021",0,0,CID5449
Teamonk,Series A,—,"Jul 14, 2017",0,0,CID5450
DB Pilot,Seed,"$500,000","Apr 19, 2021",37500000,450000,CID5451
Dolomite Restaurants,Venture - Series Unknown,—,"Jan 1, 2018",0,0,CID5452
Travools.com,Pre-Seed,"$12,000","Oct 30, 2022",900000,10800,CID5453
GlobalBees,Series A,"$75,000,000","Jul 18, 2021",5625000000,67500000,CID5454
Acko,Private Equity,—,"Jun 7, 2023",0,0,CID5455
Kiwi,Pre-Seed,"$6,000,000","May 3, 2023",450000000,5400000,CID5456
True Elements,Series A,"$1,400,000","Jan 12, 2021",105000000,1260000,CID5457
Rapido,Series D,"$180,000,000","Apr 15, 2022",13500000000,162000000,CID5458
Jar,Seed,"$4,500,000","Aug 31, 2021",337500000,4050000,CID5459
VVFit Solutions,Pre-Seed,"$37,573","Feb 3, 2020",2817975,33815.7,CID5460
BluSmart Mobility,Debt Financing,"$5,000,000","May 4, 2023",375000000,4500000,CID5461
Spandana Sphoorty Financial Limited,Private Equity,"$100,000,000","Apr 5, 2017",7500000000,90000000,CID5462
Frontier Markets,Series B,—,"Oct 14, 2022",0,0,CID5463
WickedGud,Seed,"₹20,000,000","Jun 7, 2023",20000000,240000,CID5464
Brandscale Innovations,Corporate Round,"₹100,000,000","May 15, 2023",100000000,1200000,CID5465
ReviewScout,Seed,"$500,000","Apr 1, 2023",37500000,450000,CID5466
shopmateai,Seed,"$830,000","May 4, 2023",62250000,747000,CID5467
voxqube,Seed,"$750,000","Feb 1, 2023",56250000,675000,CID5468
Muffin Data,Pre-Seed,"$500,000","Apr 5, 2023",37500000,450000,CID5469
TagZ Foods,Seed,"$2,000,000","May 11, 2023",150000000,1800000,CID5470
BizzTM,Funding Round,"$3,000,000","Dec 19, 2022",225000000,2700000,CID5471
New Street Technologies,Seed,—,"Mar 3, 2019",0,0,CID5472
Wify,Venture - Series Unknown,"₹170,000,000","May 1, 2023",170000000,2040000,CID5473
Cusmat,Series A,"$2,500,000","May 27, 2022",187500000,2250000,CID5474
DRIVEU,Seed,"$4,000,000","Nov 1, 2015",300000000,3600000,CID5475
GoCoop,Funding Round,—,"Dec 16, 2021",0,0,CID5476
Blowhorn,Funding Round,—,"Dec 1, 2015",0,0,CID5477
waibsites,Seed,"$560,000","May 1, 2023",42000000,504000,CID5478
brandbird,Seed,"$500,000","Apr 1, 2023",37500000,450000,CID5479
Gigforce,Funding Round,—,"Jul 1, 2020",0,0,CID5480
Gigforce,Funding Round,—,"Sep 28, 2021",0,0,CID5481
New Street Technologies,Series A,"$2,000,000","Mar 27, 2021",150000000,1800000,CID5482
Hippocampus Learning Centres,Funding Round,—,"Dec 16, 2021",0,0,CID5483
XFlow,Seed,"$6,000,000","Oct 1, 2021",450000000,5400000,CID5484
Cuemath,Seed,"$162,000","Dec 1, 2014",12150000,145800,CID5485
goevolv,Seed,"$650,000","Feb 1, 2023",48750000,585000,CID5486
Eduvanz,Funding Round,"$1,000,000","Jan 6, 2021",75000000,900000,CID5487
Satya MicroCapital,Debt Financing,"$35,000,000","Jun 15, 2023",2625000000,31500000,CID5488
OneCard,Venture - Series Unknown,—,"Jan 1, 2022",0,0,CID5489
Adventum Student Living,Venture - Series Unknown,"$5,000,000","Apr 24, 2023",375000000,4500000,CID5490
GramVaani,Venture - Series Unknown,—,"Jun 21, 2023",0,0,CID5491
Capital Setu,Seed,"₹28,000,000","May 17, 2023",28000000,336000,CID5492
Idfc First Bank,Post-IPO Debt,"₹15,000,000,000","Jun 27, 2023",15000000000,180000000,CID5493
Aadvik Foods,Debt Financing,"₹45,000,000","Mar 1, 2023",45000000,540000,CID5494
Heltar,Pre-Seed,"$40,000","Jun 6, 2023",3000000,36000,CID5495
IndiGG,Seed,"$6,000,000","Jan 19, 2022",450000000,5400000,CID5496
Game Theory,Seed,"$350,000","Nov 1, 2020",26250000,315000,CID5497
Vikas Ecotech,Post-IPO Equity,"₹500,000,000","Jun 12, 2023",500000000,6000000,CID5498
Corrit Electric,Series A,"₹720,000,000","Nov 16, 2022",720000000,8640000,CID5499
Supertails,Series A,"$10,000,000","Nov 9, 2022",750000000,9000000,CID5500
Varthana,Series B,"₹930,000,000","Apr 13, 2016",930000000,11160000,CID5501
Aura Semiconductor,Series A,—,"Oct 25, 2016",0,0,CID5502
MoHash,Seed,—,"Sep 30, 2022",0,0,CID5503
M2P Fintech,Series C,"$56,000,000","Jan 19, 2022",4200000000,50400000,CID5504
Dart Innovations,Seed,—,"Apr 5, 2023",0,0,CID5505
Satyukt,Seed,"₹100,000,000","Jun 13, 2023",100000000,1200000,CID5506
Pura Organic Agro Tech,Debt Financing,—,"Jul 7, 2021",0,0,CID5507
Zypp Electric,Seed,"$2,000,000","Nov 14, 2019",150000000,1800000,CID5508
KalaGato,Seed,—,"Dec 15, 2021",0,0,CID5509
Razorpay,Venture - Series Unknown,—,"Sep 20, 2021",0,0,CID5510
FirstCry,Series E,"$149,360,000","Jan 22, 2019",11202000000,134424000,CID5511
Swarna Pragati Housing Microfinance,Series B,—,"Dec 22, 2015",0,0,CID5512
Awign,Series A,"$2,800,000","Sep 1, 2018",210000000,2520000,CID5513
BharatAgri,Funding Round,—,"Dec 1, 2022",0,0,CID5514
Shoptimize India,Venture - Series Unknown,"$3,223,072","Apr 3, 2020",241730400,2900764.8,CID5515
BYJU'S,Series F,"$460,000,000","Mar 29, 2021",34500000000,414000000,CID5516
Carbon Continuum,Non-equity Assistance,—,"Jan 1, 2015",0,0,CID5517
Ustraa,Venture - Series Unknown,"₹168,000,000","Sep 21, 2022",168000000,2016000,CID5518
Ripplr,Series B,"$28,000,000","May 10, 2023",2100000000,25200000,CID5519
Awign,Series A,"$3,800,000","Aug 20, 2021",285000000,3420000,CID5520
WorldHaus,Seed,—,"Nov 1, 2012",0,0,CID5521
Arjun Kilachand,Angel,—,"Nov 8, 2022",0,0,CID5522
AddressHealth,Series A,"$1,500,000","May 25, 2016",112500000,1350000,CID5523
Junio,Seed,—,"Apr 5, 2021",0,0,CID5524
Suryadesh Energy,Venture - Series Unknown,—,"Jan 1, 2019",0,0,CID5525
